Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.57,19.52,18.4,19.33,16.620055999999998,10955700
2009-01-05,19.200001,20.24,19.0,19.950001,17.153143,16019200
2009-01-06,20.299999,21.379998999999998,20.01,21.07,18.116121,13820200
2009-01-07,20.530001000000002,20.719998999999998,19.83,20.01,17.352972,15699900
2009-01-08,19.799999,20.17,19.4,20.040001,17.378988,12255100
2009-01-09,20.16,20.299999,19.17,19.23,16.676544,12592200
2009-01-12,19.01,19.43,18.549999,18.83,16.329657,12252600
2009-01-13,18.639999,19.389999,18.41,18.99,16.468404999999997,11864800
2009-01-14,18.43,18.67,17.700001,17.83,15.462445,17040000
2009-01-15,18.18,18.389999,16.74,17.32,15.020164999999999,25799300
2009-01-16,17.870001000000002,17.98,16.33,17.01,14.751325,20618200
2009-01-20,16.84,17.15,15.58,15.6,13.528554999999999,23401900
2009-01-21,16.35,16.98,15.74,16.870001000000002,14.629921,23124100
2009-01-22,16.33,16.799999,15.75,16.059998999999998,13.927473999999998,16473000
2009-01-23,15.2,16.309998999999998,14.72,16.0,13.875439000000002,24320400
2009-01-26,15.57,16.35,15.01,15.2,13.181669,26538600
2009-01-27,16.09,16.83,15.56,16.68,14.465145000000001,28122600
2009-01-28,17.799999,18.1,17.309998999999998,17.85,15.479789000000002,20974400
2009-01-29,17.26,17.85,16.629998999999998,16.709999,14.491162,17476500
2009-01-30,16.940001000000002,17.700001,16.290001,16.73,14.508510000000001,16425900
2009-02-02,16.35,17.120001000000002,16.07,16.98,14.725309,14544600
2009-02-03,17.07,17.08,15.91,16.09,13.953489000000001,17111300
2009-02-04,16.190001000000002,17.07,16.17,16.360001,14.187639,14287400
2009-02-05,16.4,17.780001000000002,15.37,17.030001000000002,14.768671,27256100
2009-02-06,17.35,18.27,17.120001000000002,17.93,15.549169000000001,18973500
2009-02-09,17.91,17.940001000000002,17.32,17.75,15.393064,10952700
2009-02-10,17.5,17.799999,15.81,15.97,13.849423000000002,25782600
2009-02-11,16.299999,16.65,15.83,16.360001,14.187639,13389900
2009-02-12,15.91,16.27,15.03,16.190001000000002,14.040211,23438800
2009-02-13,16.049999,16.33,15.58,15.74,13.649964,12738800
2009-02-17,14.93,15.4,13.95,13.96,12.106318,29448200
2009-02-18,14.11,14.24,13.4,14.1,12.227734,26260500
2009-02-19,14.26,14.51,12.74,12.87,11.161056,29657900
2009-02-20,12.59,13.2,12.17,12.97,11.247777000000001,32549700
2009-02-23,13.27,13.35,12.09,12.15,10.536661,23529400
2009-02-24,12.3,13.77,11.44,13.62,11.811467,40853700
2009-02-25,13.44,13.7,12.33,13.07,11.3345,29846900
2009-02-26,13.62,13.9,12.37,12.57,10.900893,26211800
2009-02-27,12.15,12.93,12.02,12.06,10.458611,22406200
2009-03-02,11.68,12.08,11.0,11.06,9.591399000000001,25369600
2009-03-03,11.27,12.5,10.99,11.82,10.250478999999999,33865100
2009-03-04,12.13,12.23,11.08,11.71,10.155088000000001,27086000
2009-03-05,11.27,11.47,10.14,10.33,8.95833,31032700
2009-03-06,10.66,10.66,9.71,10.26,8.897625999999999,29227200
2009-03-09,9.99,11.2,9.86,10.64,9.227171,28224600
2009-03-10,11.14,12.2,10.81,12.17,10.554008,33387900
2009-03-11,11.58,12.15,11.18,11.93,10.345877,30536700
2009-03-12,11.76,13.38,11.09,13.15,11.403878,39570500
2009-03-13,13.14,13.39,11.93,13.09,11.351846,39340600
2009-03-16,13.36,14.15,12.6,12.66,10.978939,38412000
2009-03-17,12.37,12.92,12.09,12.92,11.204417,28925600
2009-03-18,12.83,14.17,12.51,14.09,12.219059,30385600
2009-03-19,14.31,14.57,12.95,13.07,11.3345,33340700
2009-03-20,13.19,13.19,12.12,12.26,10.632055000000001,31088200
2009-03-23,13.0,14.72,12.86,14.56,12.62665,35355100
2009-03-24,13.82,14.8,13.34,13.9,12.054289,24281600
2009-03-25,13.55,14.37,13.23,14.11,12.236403,25578000
2009-03-26,14.11,15.24,13.82,15.13,13.120961999999999,31916500
2009-03-27,14.51,14.72,14.14,14.45,12.531257,22850200
2009-03-30,13.78,13.86,12.74,12.81,11.109025,21746100
2009-03-31,13.17,13.84,13.0,13.63,11.820138,21751900
2009-04-01,13.34,14.64,13.08,14.44,12.690174,27701800
2009-04-02,15.26,15.3,14.59,14.98,13.164735999999998,27296000
2009-04-03,14.8,15.33,14.52,15.33,13.472322,19195400
2009-04-06,15.08,15.27,14.65,15.16,13.322923000000001,16065100
2009-04-07,15.12,15.38,14.85,15.01,13.191101000000002,18546800
2009-04-08,15.14,16.08,15.03,15.72,13.815066,22076900
2009-04-09,16.49,18.9,16.34,18.83,16.548199,39535300
2009-04-13,19.18,20.73,19.01,20.459999,17.980673,46328400
2009-04-14,19.93,20.469998999999998,18.27,18.43,16.196667,40389800
2009-04-15,17.85,20.700001,17.5,20.620001000000002,18.12129,50555000
2009-04-16,20.379998999999998,21.01,19.66,20.690001000000002,18.182804,33018800
2009-04-17,20.67,22.32,20.209999,21.809998999999998,19.167085999999998,34421700
2009-04-20,20.75,20.75,18.799999,18.98,16.680017000000003,40434400
2009-04-21,18.030001000000002,19.620001000000002,17.799999,19.57,17.198524,43648700
2009-04-22,18.75,20.67,18.51,19.43,17.075491,34931900
2009-04-23,19.93,21.299999,19.35,20.969998999999998,18.428875,37007800
2009-04-24,22.690001000000002,25.610001,22.629998999999998,25.299999,22.234165,90336900
2009-04-27,24.24,25.110001,23.85,24.23,21.293831,39794100
2009-04-28,23.620001000000002,24.889999,23.51,24.15,21.223523999999998,28364100
2009-04-29,24.370001000000002,25.469998999999998,24.290001,24.950001,21.926584,25651600
2009-04-30,25.719998999999998,26.33,24.91,25.219998999999998,22.16386,38295400
2009-05-01,24.940001000000002,25.4,23.58,24.290001,21.346557999999998,28748000
2009-05-04,24.559998999999998,27.389999,24.35,27.280001000000002,23.974237,37119400
2009-05-05,26.9,27.23,26.42,26.57,23.350271,25488600
2009-05-06,27.27,28.450001,26.18,27.139999,23.851198,48304700
2009-05-07,28.27,28.290001,25.73,25.969998999999998,22.822976999999998,38950600
2009-05-08,26.16,28.43,25.75,28.4,24.958510999999998,36204200
2009-05-11,27.27,27.34,26.0,26.040001,22.884498999999998,27944500
2009-05-12,26.33,26.440001000000002,24.51,25.450001,22.365992000000002,29015400
2009-05-13,24.690001000000002,24.790001,24.0,24.09,21.17079,26146400
2009-05-14,24.01,24.92,23.58,24.719998999999998,21.724449,19866900
2009-05-15,24.709999,25.32,23.9,24.23,21.293831,18754400
2009-05-18,24.790001,26.32,24.280001000000002,26.129998999999998,22.963589000000002,23570500
2009-05-19,26.01,26.290001,24.790001,24.790001,21.785976,21023300
2009-05-20,25.32,25.74,23.82,23.98,21.074127,24691200
2009-05-21,23.66,24.27,23.209999,24.15,21.223523999999998,22307500
2009-05-22,24.0,24.18,23.299999,23.4,20.564407,13161100
2009-05-26,23.209999,24.66,23.049999,24.57,21.592634,19749800
2009-05-27,24.75,24.85,23.43,23.5,20.652294,16971300
2009-05-28,23.860001,24.309998999999998,23.26,24.299999,21.355341,16005900
2009-05-29,24.48,25.299999,24.0,24.85,21.838697,19593800
2009-06-01,25.549999,26.559998999999998,25.35,25.99,22.840555,21602800
2009-06-02,24.799999,25.219998999999998,24.27,24.709999,21.715662,33817300
2009-06-03,24.719998999999998,24.99,24.16,24.48,21.513536,18402400
2009-06-04,24.629998999999998,25.5,24.540001,25.25,22.190229000000002,18639500
2009-06-05,25.6,26.02,24.870001000000002,24.950001,21.926584,16960900
2009-06-08,24.59,25.870001000000002,24.549999,25.65,22.541756,15196800
2009-06-09,26.049999,27.02,25.950001,26.93,23.666643,26164100
2009-06-10,27.15,27.4,26.120001000000002,26.690001000000002,23.455727,18014200
2009-06-11,26.639999,26.92,25.25,25.629998999999998,22.524179,25370600
2009-06-12,25.389999,25.690001000000002,24.83,25.16,22.11113,14797000
2009-06-15,24.959999,25.58,24.5,25.23,22.172651000000002,19166400
2009-06-16,25.370001000000002,25.540001,24.59,24.690001000000002,21.698092000000003,13681200
2009-06-17,24.549999,24.799999,23.610001,23.950001,21.047756,17764500
