Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.0375,14.0375,13.7175,13.8975,11.984066,2074800
2009-01-05,13.82,13.9575,13.7425,13.8375,11.932329,1818800
2009-01-06,13.8425,14.0,13.6725,13.78,11.882742,1705200
2009-01-07,13.585,13.885,13.5,13.5475,11.682255,1932400
2009-01-08,13.47,13.61,13.455,13.55,11.684413000000001,2049200
2009-01-09,13.53,13.53,13.2625,13.3375,11.501168,1519600
2009-01-12,13.3175,13.3175,13.1125,13.2725,11.445117999999999,1883200
2009-01-13,13.2725,13.3825,13.0575,13.1825,11.367510000000001,1175200
2009-01-14,13.03,13.09,12.8475,13.0075,11.216607000000002,1885200
2009-01-15,13.0125,13.395,12.965,13.19,11.373974,2615600
2009-01-16,13.295,13.495,13.065,13.41,11.563687,2030400
2009-01-20,13.41,13.59,13.18,13.21,11.391221,1903200
2009-01-21,13.3,13.3375,13.03,13.3375,11.501168,2475200
2009-01-22,13.1875,13.3125,12.9475,13.2475,11.42356,2042000
2009-01-23,13.08,13.37,12.98,13.3075,11.475298,2792400
2009-01-26,13.29,13.545,13.28,13.37,11.529193,1812000
2009-01-27,13.4625,13.55,13.27,13.46,11.606803,2042000
2009-01-28,13.625,13.815,13.5825,13.785,11.887057,1926000
2009-01-29,13.7,13.885,13.525,13.625,11.749085000000001,1750800
2009-01-30,13.6825,13.7425,13.245,13.3075,11.475298,2822000
2009-02-02,13.2425,13.5475,13.2275,13.4975,11.639141,2388800
2009-02-03,13.5625,13.6125,13.2875,13.5675,11.6995,2432400
2009-02-04,13.625,13.71,13.415,13.4875,11.630514999999999,2968000
2009-02-05,13.3775,13.465,12.9725,13.125,11.336839,5367200
2009-02-06,13.0925,13.375,12.9725,13.34,11.522546,2874800
2009-02-09,13.34,13.355,13.075,13.1425,11.351954,1735600
2009-02-10,13.03,13.1125,12.77,12.955,11.19,3760400
2009-02-11,13.0775,13.1175,12.8725,13.075,11.293652999999999,1655200
2009-02-12,12.8775,13.07,12.735,13.07,11.289328999999999,2837600
2009-02-13,13.0425,13.085,12.805,12.86,11.107941,2378400
2009-02-17,12.6525,12.9275,12.48,12.77,11.030205,3219200
2009-02-18,12.77,12.8175,12.6,12.7325,10.997815,2250000
2009-02-19,12.805,12.8125,12.6375,12.725,10.991336,1658400
2009-02-20,12.5625,12.7375,12.4175,12.505,10.80131,2039200
2009-02-23,12.615,12.68,12.2225,12.2325,10.565935000000001,2011600
2009-02-24,12.325,12.5875,12.2775,12.535,10.82722,2900400
2009-02-25,12.515,12.6075,12.1375,12.2625,10.591846,2546000
2009-02-26,12.3775,12.3875,12.0675,12.13,10.477399,2084000
2009-02-27,12.0,12.38,11.94,12.23,10.563773,2460400
2009-03-02,12.0575,12.1525,11.7525,11.775,10.170763,2746800
2009-03-03,11.875,11.9875,11.6325,11.7625,10.159969,2328000
2009-03-04,11.8375,12.1275,11.755,11.95,10.321919,1900800
2009-03-05,11.79,11.8975,11.565,11.725,10.127578,2306400
2009-03-06,11.765,11.8,11.3525,11.715,10.118938,3092800
2009-03-09,11.5975,11.7725,11.4925,11.57,9.993692,2123200
2009-03-10,11.5375,11.7375,11.4625,11.705,10.110299000000001,2435200
2009-03-11,11.75,12.085,11.705,11.865,10.2485,3069600
2009-03-12,11.875,12.265,11.835,12.2425,10.574569,3309600
2009-03-13,12.32,12.51,12.25,12.4625,10.764594,1924000
2009-03-16,12.59,12.8925,12.585,12.695,10.965423,2474000
2009-03-17,12.6525,12.8125,12.5125,12.8125,11.066915,2446800
2009-03-18,12.75,12.9925,12.5325,12.84,11.090667,2837600
2009-03-19,12.87,12.9125,12.515,12.6325,10.911438,2571600
2009-03-20,12.6675,12.78,12.5375,12.61,10.892,2506400
2009-03-23,12.7825,12.8875,12.65,12.8875,11.131695,2673600
2009-03-24,12.745,13.025,12.745,12.9525,11.187841,4379200
2009-03-25,13.0625,13.08,12.4325,12.7075,10.976217,6047600
2009-03-26,12.77,12.8,12.3125,12.7125,10.980537,4067600
2009-03-27,12.6475,13.1075,12.6475,12.8575,11.105782000000001,2479600
2009-03-30,13.13,13.1775,12.8775,13.0275,11.252623,3529200
2009-03-31,13.1575,13.21,13.0225,13.0575,11.278538000000001,2963600
2009-04-01,12.9125,13.0575,12.805,13.025,11.250461999999999,3057200
2009-04-02,13.2325,13.645,13.0775,13.44,11.608921,4603600
2009-04-03,13.435,13.545,13.2425,13.4125,11.585169,2042000
2009-04-06,13.37,13.6075,13.22,13.57,11.721209,2387200
2009-04-07,13.39,13.535,13.305,13.3975,11.572213,1742000
2009-04-08,13.4625,13.5175,13.315,13.51,11.669385,1842000
2009-04-09,13.62,13.6975,13.2325,13.3825,11.559258999999999,2375200
2009-04-13,13.33,13.375,13.12,13.165,11.371389,1612000
2009-04-14,13.0825,13.1475,12.9575,12.965,11.198636,2828000
2009-04-15,12.94,13.295,12.94,13.2525,11.446964999999999,2528400
2009-04-16,13.27,13.4275,13.2125,13.2875,11.477200999999999,2805200
2009-04-17,13.34,13.545,13.2525,13.49,11.652109,2361200
2009-04-20,13.3675,13.5975,13.24,13.3,11.487996,1625200
2009-04-21,13.3475,13.505,13.2575,13.3525,11.533344,1608800
2009-04-22,13.345,13.5325,13.1725,13.205,11.405938,2299200
2009-04-23,13.1625,13.2575,12.9925,13.1,11.315244,2401600
2009-04-24,13.185,13.235,13.0,13.065,11.285011,1992400
2009-04-27,13.045,13.545,13.045,13.355,11.535501,2744000
2009-04-28,13.25,13.6125,13.1925,13.495,11.656429,2898800
2009-04-29,13.535,13.65,13.5025,13.575,11.725529,2042000
2009-04-30,13.705,13.77,13.5225,13.6025,11.749282000000001,2605600
