Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.36,9.05,8.335,8.995,7.388128999999999,36023000
2009-01-05,8.9,8.93,8.455,8.515,7.018455,69931600
2009-01-06,8.57,8.805,8.49,8.615,7.10088,34914200
2009-01-07,8.48,8.495,8.16,8.32,6.857727000000001,40129600
2009-01-08,8.265,8.525,8.235,8.455,6.969,33865600
2009-01-09,8.51,8.52,8.135,8.165,6.7299690000000005,39527000
2009-01-12,8.14,8.195,7.75,7.85,6.470331,41786800
2009-01-13,7.845,7.9,7.595,7.665,6.317846,47847000
2009-01-14,7.565,7.64,7.32,7.405,6.103542,38743600
2009-01-15,7.35,7.64,7.125,7.505,6.185965,43094600
2009-01-16,7.58,7.77,7.38,7.665,6.317846,47707200
2009-01-20,7.645,7.69,7.005,7.01,5.777965,47119800
2009-01-21,7.075,7.535,7.025,7.535,6.210693,44091000
2009-01-22,7.345,7.54,7.115,7.395,6.095299,45277400
2009-01-23,7.195,7.575,7.0,7.495,6.177725,48113600
2009-01-26,7.485,7.75,7.375,7.525,6.202451,33289400
2009-01-27,7.535,7.68,7.4,7.46,6.148875,34616800
2009-01-28,7.575,7.99,7.575,7.98,6.577483,45051000
2009-01-29,7.86,8.055,7.635,7.665,6.317846,40650400
2009-01-30,7.675,7.815,7.285,7.325,6.037601,40911600
2009-02-02,7.275,7.425,7.205,7.35,6.0582080000000005,28948000
2009-02-03,7.35,7.41,7.155,7.34,6.049966,41022000
2009-02-04,6.92,7.445,6.795,7.08,5.835662,61011200
2009-02-05,7.0,7.08,6.785,6.915,5.699662,71813800
2009-02-06,6.885,7.25,6.87,7.085,5.839783000000001,51664600
2009-02-09,7.17,7.25,6.94,7.205,5.938693,45446600
2009-02-10,7.1,7.285,6.715,6.77,5.580145,61985200
2009-02-11,6.83,6.935,6.645,6.785,5.592509,32913800
2009-02-12,6.675,6.915,6.59,6.89,5.679055,48229000
2009-02-13,6.89,6.975,6.675,6.83,5.6296,37916000
2009-02-17,6.475,6.59,6.29,6.445,5.312264,60552400
2009-02-18,6.49,6.495,5.975,6.18,5.09384,88902800
2009-02-19,6.34,6.695,6.29,6.495,5.353476000000001,80461400
2009-02-20,6.465,6.575,6.29,6.42,5.291658999999999,60677000
2009-02-23,6.435,6.7,6.32,6.345,5.229841,51067600
2009-02-24,6.325,6.965,6.31,6.94,5.720267,57832600
2009-02-25,6.875,7.215,6.78,7.025,5.790327,67857200
2009-02-26,7.015,7.1,6.67,6.67,5.497719999999999,91900000
2009-02-27,6.645,6.775,6.495,6.53,5.382326,51406400
2009-03-02,6.405,6.435,6.16,6.295,5.188629,57219600
2009-03-03,6.4,6.56,6.195,6.25,5.151537,62024200
2009-03-04,6.31,6.47,6.185,6.37,5.250447,57268800
2009-03-05,6.205,6.28,5.95,6.0,4.945476,52003200
2009-03-06,5.955,6.155,5.635,5.815,4.7929889999999995,69040200
2009-03-09,5.735,5.98,5.55,5.61,4.62402,45101200
2009-03-10,5.75,6.125,5.67,6.105,5.032022,56960600
2009-03-11,6.115,6.34,6.105,6.185,5.097961,34690400
2009-03-12,6.11,6.49,6.06,6.46,5.324629,29570400
2009-03-13,6.62,6.705,6.3,6.515,5.369962,40304200
2009-03-16,6.565,6.75,6.27,6.285,5.180386,41116400
2009-03-17,6.34,6.65,6.29,6.635,5.468874,34527400
2009-03-18,6.565,6.925,6.53,6.785,5.592509,39044600
2009-03-19,6.815,6.825,6.44,6.525,5.378206,44926600
2009-03-20,6.595,6.675,6.245,6.36,5.242204,66275800
2009-03-23,6.575,7.06,6.5,7.04,5.802691,44886600
2009-03-24,6.955,7.235,6.89,6.995,5.7656019999999994,42720000
2009-03-25,6.965,7.19,6.765,6.97,5.744993,47405800
2009-03-26,7.0,7.295,6.97,7.275,5.996389,49054800
2009-03-27,7.175,7.315,7.045,7.27,5.992268,54313600
2009-03-30,7.135,7.165,6.765,6.825,5.625478,46203000
2009-03-31,6.905,6.93,6.755,6.82,5.621357,59283600
2009-04-01,6.715,6.99,6.635,6.96,5.736752,50577000
2009-04-02,7.065,7.37,7.015,7.285,6.004633,60191000
2009-04-03,7.325,7.375,7.1,7.25,5.975783,47139200
2009-04-06,7.165,7.235,7.09,7.18,5.945969,37413200
2009-04-07,7.05,7.125,6.995,7.02,5.813471,50601400
2009-04-08,7.08,7.13,6.915,7.13,5.904563,44544200
2009-04-09,7.205,7.34,7.16,7.31,6.053627,43122800
2009-04-13,7.165,7.26,7.04,7.175,5.94183,27129200
2009-04-14,7.085,7.115,6.875,6.93,5.738939,46975000
2009-04-15,6.86,7.21,6.85,7.19,5.954253,46507200
2009-04-16,7.195,7.425,7.105,7.38,6.111597,50992200
2009-04-17,7.46,7.46,7.125,7.24,5.995658000000001,53095400
2009-04-20,7.06,7.14,6.895,6.965,5.767923000000001,40456400
2009-04-21,6.96,7.155,6.905,7.135,5.908705,41026400
2009-04-22,7.005,7.175,7.0,7.025,5.817609,39258600
2009-04-23,6.93,6.985,6.66,6.805,5.635423,54215200
2009-04-24,6.825,7.02,6.71,6.945,5.75136,38026000
2009-04-27,6.775,6.925,6.625,6.88,5.697532,47976400
2009-04-28,6.805,7.19,6.795,7.095,5.875579,39024000
2009-04-29,7.175,7.67,7.175,7.62,6.310348,63364200
2009-04-30,8.1,8.15,7.685,7.73,6.401441,69526600
2009-05-01,8.04,8.245,7.87,8.18,6.7741,51974600
2009-05-04,8.18,8.53,8.105,8.325,6.894178999999999,51540200
2009-05-05,8.32,8.5,7.955,8.125,6.728553999999999,47393400
2009-05-06,8.14,8.2,7.815,8.0,6.625037,45925400
2009-05-07,7.96,8.14,7.76,7.845,6.496677,74932600
2009-05-08,8.0,8.0,7.755,7.875,6.5215190000000005,49369200
2009-05-11,7.73,7.805,7.64,7.705,6.380738,29726000
2009-05-12,7.77,7.775,7.435,7.6,6.293784,42579200
2009-05-13,7.45,7.635,7.375,7.48,6.194408999999999,45095600
2009-05-14,7.54,7.575,7.395,7.43,6.153002,45787000
2009-05-15,7.39,7.45,7.165,7.21,5.970816,46107800
2009-05-18,7.245,7.585,7.245,7.58,6.277221,39309800
2009-05-19,7.59,7.69,7.475,7.5,6.210973,39586200
