Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,12.76,12.93,12.51,12.85,8.587122,2395400
2009-01-05,12.83,13.23,12.64,13.14,8.780916,3931600
2009-01-06,13.2,13.34,12.85,12.91,8.627217,2969500
2009-01-07,12.82,12.91,12.66,12.72,8.500248,3247900
2009-01-08,12.72,13.09,12.6,13.06,8.727454,3813300
2009-01-09,13.07,13.22,12.78,12.85,8.587122,3958700
2009-01-12,12.97,12.97,12.66,12.8,8.553709,3162800
2009-01-13,12.77,12.77,12.52,12.64,8.446789,3562800
2009-01-14,12.5,12.61,12.23,12.43,8.306451,3842600
2009-01-15,12.44,12.55,12.2,12.54,8.37996,4427600
2009-01-16,12.8,12.92,12.59,12.74,8.513614,4103800
2009-01-20,12.78,12.9,12.41,12.43,8.306451,4498800
2009-01-21,12.66,12.66,12.32,12.59,8.413375,4059600
2009-01-22,12.51,12.89,12.29,12.75,8.520294999999999,4604600
2009-01-23,12.51,13.04,12.5,12.98,8.673995,4929600
2009-01-26,13.11,13.6,12.97,13.47,9.001441999999999,5222800
2009-01-27,13.5,13.65,13.33,13.6,9.088317,3267700
2009-01-28,13.8,13.8,13.51,13.72,9.168507,3264300
2009-01-29,13.66,13.92,13.45,13.64,9.115048,3518800
2009-01-30,13.77,13.77,13.28,13.38,8.941298,3603400
2009-02-02,13.25,13.88,13.21,13.83,9.242014999999999,4979900
2009-02-03,13.88,14.1,13.73,14.0,9.35562,3724800
2009-02-04,14.02,14.27,13.82,13.98,9.342253,4686000
2009-02-05,13.91,14.36,13.84,14.3,9.556098,5221800
2009-02-06,13.85,14.44,13.85,14.39,9.616239,5117400
2009-02-09,14.5,14.53,14.03,14.21,9.495955,2541600
2009-02-10,14.06,14.21,13.45,13.52,9.034856,5199900
2009-02-11,13.47,13.52,13.1,13.16,8.919630999999999,4381900
2009-02-12,12.98,13.27,12.86,13.22,8.960299000000001,4947300
2009-02-13,13.1,13.4,13.1,13.13,8.899297,4029500
2009-02-17,12.99,13.02,12.54,12.56,8.512963000000001,4580600
2009-02-18,12.62,12.65,12.19,12.24,8.296069000000001,7274400
2009-02-19,12.32,12.47,12.07,12.19,8.262179,5901900
2009-02-20,12.03,12.15,11.56,11.83,8.018178,5377100
2009-02-23,11.83,12.03,11.59,11.66,7.902955,6935900
2009-02-24,11.77,11.97,11.55,11.88,8.052069,5491600
2009-02-25,11.79,11.79,9.86,10.52,7.13028,18893700
2009-02-26,10.84,11.45,10.52,10.6,7.184507000000001,7780900
2009-02-27,10.55,10.59,10.2,10.32,6.994727,7741800
2009-03-02,10.17,10.28,9.61,9.64,6.533832,5903300
2009-03-03,9.75,10.05,9.12,9.18,6.222053,5764000
2009-03-04,9.37,9.67,9.2,9.52,6.452501,3475900
2009-03-05,9.35,9.46,8.83,8.95,6.066162,4626300
2009-03-06,9.01,9.49,8.66,8.88,6.018717,4882100
2009-03-09,8.78,9.2,8.75,9.06,6.14072,8693300
2009-03-10,9.23,9.43,9.1,9.3,6.303387,3292200
2009-03-11,9.4,9.47,9.11,9.3,6.303387,6291100
2009-03-12,9.31,9.86,9.24,9.74,6.601611999999999,5535900
2009-03-13,9.8,10.24,9.8,10.14,6.872725,7139600
2009-03-16,10.24,10.54,10.1,10.1,6.845614,6669600
2009-03-17,10.18,10.37,9.97,10.21,6.92017,6015000
2009-03-18,10.17,10.55,9.97,10.42,7.062505000000001,6397300
2009-03-19,10.38,10.49,10.29,10.39,7.042171000000001,3292400
2009-03-20,10.55,10.68,10.39,10.47,7.096394,6034800
2009-03-23,10.56,10.79,10.44,10.79,7.313282000000001,5061100
2009-03-24,10.7,10.8,10.41,10.44,7.076059,3632100
2009-03-25,10.53,10.6,10.09,10.29,6.974392,4348500
2009-03-26,10.48,10.48,10.15,10.32,6.994727,4466500
2009-03-27,10.22,10.28,10.13,10.17,6.893059,2156000
2009-03-30,10.0,10.2,9.92,10.11,6.852392999999999,5689400
2009-03-31,10.28,10.65,10.19,10.43,7.069283,6128000
2009-04-01,10.3,10.34,9.93,10.28,6.967614,3478200
2009-04-02,10.34,10.61,10.28,10.46,7.089614,3123500
2009-04-03,10.46,10.59,10.34,10.56,7.157394999999999,2574500
2009-04-06,10.55,10.71,10.4,10.49,7.109949,2786300
2009-04-07,10.4,10.51,10.27,10.3,6.981171000000001,2315000
2009-04-08,10.31,10.39,10.18,10.26,6.954056,3630300
2009-04-09,10.49,10.52,10.16,10.23,6.933725,3217700
2009-04-13,10.21,10.3,10.1,10.18,6.899837,2367300
2009-04-14,10.1,10.24,10.02,10.12,6.8591690000000005,3875600
2009-04-15,10.24,10.28,10.08,10.18,6.899837,2959700
2009-04-16,10.28,10.33,10.18,10.28,6.967614,3430200
2009-04-17,10.32,10.57,10.29,10.52,7.13028,6189900
2009-04-20,10.42,10.48,10.32,10.42,7.062505000000001,3300400
2009-04-21,10.45,10.58,10.35,10.44,7.076059,2783900
2009-04-22,10.36,10.5,10.26,10.31,6.987949,3169200
2009-04-23,10.26,10.34,10.11,10.2,6.913391000000001,4019700
2009-04-24,10.28,10.37,10.12,10.31,6.987949,2913100
2009-04-27,10.16,10.73,10.16,10.67,7.231949,5659800
2009-04-28,10.67,10.85,10.52,10.74,7.279395,3573800
2009-04-29,10.5,10.75,10.32,10.7,7.2522839999999995,4772000
2009-04-30,10.77,10.8,10.43,10.64,7.211616,3817700
2009-05-01,10.62,11.01,10.59,11.01,7.462397,4034600
2009-05-04,11.4,11.4,10.87,10.97,7.435287,3415300
2009-05-05,10.94,11.02,10.72,10.77,7.299728,5324300
2009-05-06,10.83,11.05,10.72,10.84,7.347173,3000200
2009-05-07,10.98,10.98,10.79,10.85,7.35395,2412500
2009-05-08,10.94,11.17,10.86,10.93,7.408174000000001,3195900
2009-05-11,10.83,10.96,10.77,10.79,7.313282000000001,2727400
2009-05-12,10.79,10.89,10.61,10.68,7.238728,2878400
2009-05-13,10.41,10.65,10.16,10.19,7.031708,3640300
2009-05-14,10.24,10.32,10.12,10.24,7.066213,2696800
2009-05-15,10.19,10.24,10.0,10.05,6.9351020000000005,3263800
2009-05-18,10.21,10.37,10.06,10.27,7.086914999999999,3555200
2009-05-19,10.31,10.47,10.21,10.32,7.121417999999999,3238300
2009-05-20,10.39,10.42,9.92,9.96,6.872997,5845600
2009-05-21,9.95,9.98,9.8,9.83,6.783289,2978600
2009-05-22,9.82,9.97,9.78,9.85,6.7970880000000005,2005400
2009-05-26,9.89,10.07,9.78,10.0,6.900597,3555600
2009-05-27,10.03,10.06,9.76,9.77,6.741885000000001,2404500
2009-05-28,9.87,10.15,9.83,10.1,6.9696039999999995,2854500
2009-05-29,10.15,10.18,9.89,10.12,6.983406,3403600
2009-06-01,10.22,10.4,10.14,10.27,7.086914999999999,4368600
2009-06-02,10.24,10.32,10.13,10.24,7.066213,6337300
2009-06-03,10.23,10.26,9.93,10.05,6.9351020000000005,2904900
2009-06-04,10.12,10.12,10.0,10.02,6.9144,2292900
2009-06-05,10.14,10.14,9.95,9.99,6.893698,3615600
2009-06-08,10.01,10.26,9.99,10.15,7.004103999999999,4248500
2009-06-09,10.19,10.23,10.0,10.04,6.9282,4687400
2009-06-10,10.13,10.24,10.03,10.18,7.024808,5853000
2009-06-11,10.18,10.67,10.18,10.54,7.273232000000001,6147100
2009-06-12,10.48,10.73,10.42,10.66,7.356039,3511800
2009-06-15,10.55,10.63,10.38,10.46,7.218027,2500700
2009-06-16,10.51,10.59,10.38,10.47,7.224925999999999,2964000
2009-06-17,10.45,10.61,10.41,10.5,7.245628,4178900
2009-06-18,10.52,10.77,10.52,10.73,7.404342999999999,2276600
2009-06-19,10.83,10.95,10.7,10.75,7.418143,8632000
