Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,10.93,11.24,10.63,10.76,7.119026,2895100
2009-01-05,10.76,11.18,10.2,10.7,7.0793289999999995,3270600
2009-01-06,10.75,11.7,10.71,11.59,7.668171000000001,4116100
2009-01-07,11.05,11.52,10.87,10.91,7.2182699999999995,3269300
2009-01-08,10.9,11.49,10.64,11.28,7.46307,2354800
2009-01-09,11.26,11.35,10.67,10.76,7.119026,3439300
2009-01-12,10.45,10.75,8.96,9.28,6.13983,4453100
2009-01-13,9.26,9.53,8.55,9.26,6.126598,4357400
2009-01-14,9.12,9.12,8.44,8.59,5.683312,3474200
2009-01-15,8.58,9.65,8.0,9.43,6.239071,5348000
2009-01-16,9.54,10.2,9.25,9.97,6.596347,4282500
2009-01-20,9.83,9.88,8.69,8.76,5.795788,5514400
2009-01-21,8.93,10.31,8.8,10.24,6.774986,4665400
2009-01-22,9.68,10.44,9.53,9.84,6.510338,4455900
2009-01-23,9.44,10.48,9.21,10.37,6.860997,2814900
2009-01-26,10.41,10.96,10.09,10.64,7.0396339999999995,3577300
2009-01-27,10.95,11.2,10.36,10.91,7.2182699999999995,2977200
2009-01-28,11.23,12.26,11.12,12.11,8.012212,6016600
2009-01-29,10.99,11.17,9.83,9.96,6.589732000000001,6644900
2009-01-30,10.04,10.39,9.01,9.21,6.093516999999999,6139300
2009-02-02,9.15,9.66,8.75,9.64,6.378015,4343300
2009-02-03,9.65,9.73,9.2,9.61,6.358166000000001,3140600
2009-02-04,9.75,9.89,9.12,9.23,6.106749,3485200
2009-02-05,9.16,9.57,8.62,9.17,6.067053,3166100
2009-02-06,9.23,10.38,9.2,10.28,6.80145,4335300
2009-02-09,10.26,10.63,9.98,10.52,6.960239,2973500
2009-02-10,10.28,10.45,9.17,9.3,6.1530629999999995,4722900
2009-02-11,9.23,9.3,8.64,9.15,6.221051999999999,4450600
2009-02-12,9.13,9.28,8.12,8.94,6.0782739999999995,5036100
2009-02-13,8.72,9.2,8.26,8.27,5.622745,4153700
2009-02-17,8.1,8.1,7.3,7.42,5.044830999999999,4849900
2009-02-18,7.45,7.59,6.95,7.39,5.024433999999999,3313600
2009-02-19,7.59,7.67,6.82,6.91,4.698084,3045800
2009-02-20,6.68,7.65,6.41,7.48,5.085625,5714600
2009-02-23,7.63,7.69,6.65,6.69,4.548507,5164000
2009-02-24,6.76,7.52,6.5,7.49,5.092423999999999,5966400
2009-02-25,7.35,7.66,6.7,7.19,4.888455,4662200
2009-02-26,7.34,7.79,7.0,7.15,4.86126,5243800
2009-02-27,6.95,7.33,6.75,6.9,4.691286,4079100
2009-03-02,6.88,6.88,5.75,5.94,4.038584999999999,6693400
2009-03-03,6.02,6.22,5.61,5.97,4.058982,4846500
2009-03-04,6.37,6.6,5.99,6.39,4.344538,4216900
2009-03-05,6.09,6.4,5.36,5.52,3.753028,5921100
2009-03-06,5.65,5.82,4.17,4.48,3.045936,9890000
2009-03-09,4.38,4.52,4.07,4.39,2.984746,5368500
2009-03-10,4.49,5.54,4.45,5.35,3.6374459999999997,10588600
2009-03-11,5.39,5.9,5.17,5.49,3.732632,7417000
2009-03-12,5.49,6.47,5.36,6.37,4.330939,6484700
2009-03-13,6.45,6.55,5.68,5.94,4.038584999999999,4854800
2009-03-16,6.29,6.29,5.16,5.2,3.535461,5976100
2009-03-17,5.32,5.65,5.01,5.65,3.841416,6203300
2009-03-18,5.61,6.4,5.15,6.27,4.26295,8053600
2009-03-19,6.4,6.45,5.88,5.9,4.011389,6461300
2009-03-20,5.9,5.9,4.93,4.93,3.3518879999999998,5678900
2009-03-23,5.25,6.25,5.25,6.2,4.215358,9615200
2009-03-24,6.0,6.33,5.5,5.79,3.9366,6953700
2009-03-25,5.82,6.05,5.04,5.73,3.895807,6841100
2009-03-26,5.88,6.11,5.65,6.07,4.126972,6356700
2009-03-27,5.86,6.03,5.56,5.61,3.8142199999999997,4876200
2009-03-30,5.41,5.64,4.93,4.96,3.3722870000000005,7206000
2009-03-31,5.13,5.74,5.06,5.5,3.7394309999999997,7952400
2009-04-01,5.28,5.56,5.16,5.28,3.5898529999999997,4660600
2009-04-02,5.56,6.3,5.5,6.14,4.174564,7117600
2009-04-03,6.14,6.93,5.8,6.89,4.684486,8821800
2009-04-06,6.72,7.19,6.31,6.97,4.738878,5277800
2009-04-07,6.75,7.22,6.28,6.32,4.296946,5049000
2009-04-08,6.44,6.93,6.27,6.62,4.500915,4656900
2009-04-09,6.8,8.31,6.8,8.24,5.602347,8241500
2009-04-13,8.15,8.47,7.64,8.2,5.575151,4698400
2009-04-14,8.09,8.65,7.56,7.63,5.18761,6785600
2009-04-15,7.62,8.5,7.4,8.44,5.738325,6195000
2009-04-16,8.25,9.34,8.0,9.31,6.329835,47565000
2009-04-17,8.97,9.95,8.85,9.38,6.377429,11470800
2009-04-20,9.11,9.17,7.94,8.11,5.51396,12855200
2009-04-21,7.98,9.28,6.88,9.1,6.187057,11929900
2009-04-22,8.61,9.41,8.25,8.49,5.772321,8812400
2009-04-23,8.56,9.4,8.43,9.3,6.323037,9038900
2009-04-24,9.27,10.32,9.12,9.94,6.75817,13134900
2009-04-27,9.45,9.9,8.61,8.96,6.091872,8651800
2009-04-28,8.85,9.55,8.62,9.14,6.214254,5839500
2009-04-29,9.19,9.81,9.06,9.71,6.601792,7139100
2009-04-30,9.78,10.34,9.7,9.77,6.642587,11221300
2009-05-01,9.64,9.64,9.08,9.22,6.268644999999999,7864000
2009-05-04,9.55,10.55,9.4,10.46,7.111716,10495700
2009-05-05,10.43,10.5,9.87,9.93,6.751371000000001,5860800
2009-05-06,10.22,10.25,9.57,9.82,6.676585,10024400
2009-05-07,10.15,10.16,8.52,8.85,6.017083,9789000
2009-05-08,8.93,9.84,8.93,9.79,6.656185000000001,9222300
2009-05-11,9.15,9.95,9.1,9.53,6.479413,6765000
2009-05-12,9.77,9.81,8.79,9.26,6.410188,5873100
2009-05-13,8.99,9.17,8.02,8.08,5.59334,6813300
2009-05-14,8.09,8.84,7.84,8.63,5.974075,6158200
2009-05-15,8.6,8.75,7.96,8.2,5.676408,5860500
2009-05-18,8.36,9.23,8.32,9.15,6.334042,7744200
2009-05-19,9.07,9.3,8.66,8.97,6.209436,4821700
2009-05-20,9.22,9.59,8.93,9.0,6.230206,5583300
2009-05-21,8.83,9.16,8.61,8.91,6.167903,3152600
2009-05-22,8.95,9.17,8.55,8.61,5.960229,2978700
2009-05-26,8.55,9.32,8.44,9.26,6.410188,6542700
2009-05-27,9.26,9.33,8.63,8.72,6.036376000000001,5713800
2009-05-28,8.84,9.02,8.52,8.93,6.181748000000001,5619800
2009-05-29,9.01,9.51,8.88,9.51,6.58325,4924000
2009-06-01,9.61,10.45,9.53,9.97,6.901681,6107000
2009-06-02,9.92,10.15,9.73,9.8,6.784000999999999,4581000
2009-06-03,9.66,9.83,9.36,9.51,6.58325,2428300
2009-06-04,9.34,10.14,9.34,9.92,6.867071000000001,4096000
2009-06-05,10.0,10.23,9.77,9.91,6.860148,3201700
2009-06-08,9.66,9.87,9.37,9.64,6.673241,2936400
2009-06-09,9.66,9.73,9.43,9.48,6.562481,3047500
2009-06-10,9.54,9.66,8.95,9.18,6.3548089999999995,4038500
2009-06-11,9.14,9.38,8.95,9.01,6.237128,2854600
2009-06-12,9.05,9.62,8.89,9.6,6.645553,3853800
2009-06-15,9.49,9.5,8.74,8.87,6.140213,5255400
2009-06-16,9.07,9.18,8.61,8.89,6.154058999999999,3416700
2009-06-17,8.85,9.07,8.48,8.52,5.897926999999999,4520100
2009-06-18,8.67,8.7,8.31,8.53,5.904849,3681000
2009-06-19,8.59,8.86,8.59,8.85,6.126367,4374700
2009-06-22,8.75,8.8,7.99,8.03,5.558726999999999,5957500
2009-06-23,8.32,8.89,8.16,8.31,5.752557,5603700
2009-06-24,8.37,8.59,8.26,8.44,5.842548000000001,3154800
2009-06-25,8.39,8.53,8.12,8.52,5.897926999999999,2606500
2009-06-26,8.51,8.72,8.38,8.63,5.974075,3434500
2009-06-29,8.75,8.89,8.47,8.62,5.967151,2119000
2009-06-30,8.64,8.82,8.54,8.77,6.07099,2757600
2009-07-01,8.82,9.06,8.78,8.84,6.119445,2438200
2009-07-02,8.59,8.66,8.11,8.11,5.614108,3883700
2009-07-06,8.07,8.71,8.07,8.65,5.98792,4402900
2009-07-07,8.65,8.7,8.01,8.1,5.6071860000000004,4196700
2009-07-08,8.15,8.28,7.54,7.81,5.406434,5488800
2009-07-09,8.0,8.11,7.63,7.69,5.323365,3891900
2009-07-10,7.64,7.8,7.46,7.63,5.281828,3538800
2009-07-13,7.78,7.99,7.45,7.94,5.4964260000000005,5151100
2009-07-14,7.92,8.17,7.7,8.04,5.56565,2582700
2009-07-15,8.18,8.46,8.04,8.35,5.780246,4384000
2009-07-16,8.2,8.57,8.12,8.45,5.849469999999999,2542000
2009-07-17,8.42,8.43,7.97,8.12,5.621027,3254700
2009-07-20,8.2,8.52,8.2,8.5,5.884083,4278300
2009-07-21,8.66,8.66,8.23,8.46,5.856391,3488100
2009-07-22,8.36,8.56,8.22,8.37,5.79409,2495300
2009-07-23,8.39,9.01,8.27,8.83,6.112523,5248200
2009-07-24,8.67,8.95,8.57,8.9,6.160981,2158700
2009-07-27,8.93,9.35,8.73,9.3,6.4378779999999995,3786800
2009-07-28,9.23,9.42,9.04,9.18,6.3548089999999995,3803400
2009-07-29,9.12,9.24,8.92,9.07,6.278663,2584700
2009-07-30,9.14,9.37,8.95,9.27,6.41711,4507100
2009-07-31,9.19,9.54,9.1,9.49,6.569405000000001,2772300
2009-08-03,9.56,9.7,9.3,9.44,6.534791,3423400
2009-08-04,9.31,10.04,9.17,10.04,6.950139,7419000
2009-08-05,10.05,10.64,9.93,10.56,7.310105999999999,6803300
2009-08-06,10.95,11.91,10.95,11.47,7.940049,7979500
2009-08-07,11.79,12.76,11.49,12.05,8.341552,8271300
2009-08-10,11.95,12.0,10.9,11.08,7.6700740000000005,5253200
2009-08-11,11.0,11.13,10.45,10.75,7.441633,4399200
2009-08-12,10.7,10.94,10.41,10.44,7.3431619999999995,5350700
2009-08-13,10.67,11.06,10.37,10.98,7.722981,4043400
2009-08-14,10.84,10.95,10.44,10.86,7.638576,3814900
2009-08-17,10.53,10.53,10.12,10.2,7.174353,4772900
2009-08-18,10.27,10.56,10.1,10.4,7.315025,2831000
2009-08-19,10.18,10.52,10.03,10.3,7.244689999999999,2309800
2009-08-20,10.3,10.87,10.26,10.84,7.624511999999999,3033300
2009-08-21,10.97,11.56,10.91,11.22,7.891789,3091800
2009-08-24,11.26,11.85,11.26,11.43,8.039497,4775300
2009-08-25,11.49,11.72,11.19,11.43,8.039497,2962300
2009-08-26,11.27,11.48,11.09,11.46,8.060596,4335200
2009-08-27,11.51,11.59,11.06,11.56,8.130936,3066400
2009-08-28,11.74,11.95,11.5,11.92,8.384145,3064200
2009-08-31,11.52,11.66,11.26,11.52,8.102799000000001,5275800
2009-09-01,11.49,11.65,10.87,10.92,7.680778999999999,5210100
2009-09-02,10.82,10.87,10.45,10.51,7.392398,4207000
2009-09-03,10.6,10.64,10.31,10.54,7.4134970000000004,4308700
2009-09-04,10.49,10.72,10.23,10.69,7.519003,2383200
2009-09-08,10.77,11.25,10.77,11.14,7.835519000000001,3336200
2009-09-09,11.02,11.43,10.95,11.4,8.018394,2915200
2009-09-10,11.3,11.62,11.2,11.57,8.137965,3543600
2009-09-11,11.58,11.88,11.3,11.79,8.292708,3952500
2009-09-14,11.62,12.45,11.47,12.45,8.75693,4717500
2009-09-15,12.45,12.92,12.16,12.68,8.918708,4747900
2009-09-16,12.81,13.2,12.61,13.16,9.256321,4260700
2009-09-17,13.14,13.71,12.52,12.71,8.939809,3840800
2009-09-18,12.83,12.97,12.23,12.53,8.813203,3683900
2009-09-21,12.53,12.65,12.0,12.0,8.440415,5595400
2009-09-22,12.11,12.59,11.91,12.51,8.799133,4889100
2009-09-23,12.53,12.63,11.72,11.76,8.27161,4602100
2009-09-24,11.81,12.03,11.06,11.27,7.926955,5606300
2009-09-25,11.2,11.79,11.0,11.57,8.137965,4047900
2009-09-28,11.93,12.38,11.82,12.38,8.707694,5724100
2009-09-29,12.38,12.38,11.76,11.8,8.299744,4045700
2009-09-30,11.87,12.05,11.5,12.01,8.447451,5594800
2009-10-01,11.93,12.0,11.34,11.39,8.01136,6707900
2009-10-02,11.09,11.96,10.93,11.45,8.053564999999999,5263900
2009-10-05,11.59,11.98,11.47,11.9,8.37008,3653800
2009-10-06,12.09,12.25,11.75,11.93,8.39118,3471800
