Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,15.755,16.415001,15.545,16.325001,14.726338,2971400
2009-01-05,16.004998999999998,16.135,15.335,15.54,14.018208999999999,4459400
2009-01-06,15.655,15.85,15.195,15.59,14.063314000000002,5353600
2009-01-07,15.26,15.505,15.23,15.455,13.941536,6067400
2009-01-08,15.355,15.565,15.145,15.565,14.040764999999999,6049400
2009-01-09,15.6,15.72,15.225,15.285,13.788179999999999,6694000
2009-01-12,15.29,15.29,14.56,14.755,13.310085,3920600
2009-01-13,14.74,14.905,14.23,14.365,12.958274000000001,4975200
2009-01-14,14.165,14.39,13.91,14.18,12.791392,3311800
2009-01-15,13.965,14.77,13.895,14.515,13.093588,5938600
2009-01-16,12.825,13.245,12.25,13.055,11.776558999999999,25330200
2009-01-20,12.745,13.515,12.375,13.06,11.781072,9216800
2009-01-21,13.07,13.21,12.845,13.13,11.844216000000001,6570000
2009-01-22,12.895,13.34,12.77,13.285,11.984036,6867400
2009-01-23,13.015,13.045,12.525,12.65,11.41122,5699800
2009-01-26,12.795,12.975,12.665,12.82,11.564572,3099000
2009-01-27,12.77,13.015,12.725,12.905,11.641250999999999,3625200
2009-01-28,13.125,13.53,13.025,13.45,12.132878,4476800
2009-01-29,13.45,13.535,13.3,13.395,12.083264,4510400
2009-01-30,13.48,13.5,13.065,13.125,11.839705,3766600
2009-02-02,13.065,13.065,12.75,12.935,11.66831,4954000
2009-02-03,12.975,13.185,12.945,13.09,11.808132,5822600
2009-02-04,12.875,13.2,12.825,13.095,11.812644,6070200
2009-02-05,12.945,13.55,12.38,13.41,12.096795,12135600
2009-02-06,13.35,14.32,13.11,14.06,12.683146,7858600
2009-02-09,14.075,14.45,14.075,14.365,12.958274000000001,4539000
2009-02-10,14.265,14.365,13.275,13.39,12.078755000000001,5549600
2009-02-11,13.565,13.645,13.31,13.415,12.101307,5400800
2009-02-12,13.255,13.69,13.1,13.69,12.349374000000001,3939800
2009-02-13,13.72,13.75,13.425,13.445,12.128368,3240200
2009-02-17,12.5,13.28,12.5,12.88,11.618698,4482400
2009-02-18,12.84,12.87,12.57,12.74,11.492410000000001,4283000
2009-02-19,12.855,12.98,12.535,12.6,11.366116,3480200
2009-02-20,12.49,12.63,12.235,12.365,11.15413,5613600
2009-02-23,12.495,12.495,11.645,11.655,10.513659,7988000
2009-02-24,11.735,11.905,11.565,11.755,10.603866,5774800
2009-02-25,11.705,11.84,11.465,11.64,10.500129,3666200
2009-02-26,11.74,11.805,11.41,11.44,10.319714,4158800
2009-02-27,11.3,11.565,11.205,11.325,10.215973,3273200
2009-03-02,11.13,11.25,10.55,10.555,9.521379,5656400
2009-03-03,10.89,10.935,10.475,10.485,9.458234,7489400
2009-03-04,10.615,11.065,10.51,10.87,9.805532000000001,6323200
2009-03-05,10.805,10.805,10.2,10.29,9.282331,5695000
2009-03-06,10.255,10.55,10.125,10.33,9.31841,8800400
2009-03-09,10.16,10.27,9.905,9.975,8.998177,4750000
2009-03-10,10.11,10.51,10.075,10.51,9.480784,4767200
2009-03-11,10.585,10.74,10.375,10.55,9.516867999999999,3639200
2009-03-12,10.505,10.85,10.345,10.8,9.742386,3994800
2009-03-13,10.845,11.1,10.74,11.07,9.985944,3006600
2009-03-16,11.27,11.415,11.14,11.14,10.049093,3073800
2009-03-17,11.24,11.53,11.16,11.53,10.400898,3987200
2009-03-18,11.49,12.055,11.41,11.845,10.68505,6033600
2009-03-19,11.79,12.035,11.755,11.8,10.644459,4397200
2009-03-20,11.825,11.94,11.585,11.605,10.468555,3436400
2009-03-23,11.69,12.4,11.69,12.4,11.185702000000001,3075800
2009-03-24,12.285,12.705,12.28,12.525,11.298461,3907800
2009-03-25,12.585,12.925,12.35,12.625,11.388667,3544800
2009-03-26,12.735,13.01,12.49,13.0,11.726944999999999,4079600
2009-03-27,12.91,12.935,12.58,12.86,11.600655,3146400
2009-03-30,12.62,12.76,12.135,12.32,11.113536999999999,3694800
2009-03-31,12.355,12.61,12.14,12.325,11.118049000000001,3903200
2009-04-01,12.155,12.645,12.015,12.565,11.334541999999999,2659400
2009-04-02,12.86,13.58,12.725,13.395,12.083264,5549800
2009-04-03,13.43,13.455,13.105,13.34,12.033648,2748400
