Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.24,8.65,8.08,8.59,7.184416000000001,5394300
2009-01-05,8.39,8.6,8.22,8.4,7.025503,10170400
2009-01-06,8.54,8.62,8.32,8.45,7.067324,9275200
2009-01-07,8.27,8.53,7.9,7.93,6.632411,7707600
2009-01-08,8.19,8.19,7.73,8.06,6.741138,7990900
2009-01-09,8.09,8.09,7.47,7.49,6.264407,12730000
2009-01-12,7.4,7.48,6.8,6.87,5.745858,14824100
2009-01-13,6.75,6.85,6.48,6.79,5.678948999999999,19142400
2009-01-14,6.62,6.7,6.08,6.27,5.2440370000000005,13787400
2009-01-15,6.24,6.42,4.86,5.38,4.499668,24758100
2009-01-16,5.63,5.74,5.09,5.43,4.541486,16422200
2009-01-20,5.28,5.43,4.22,4.22,3.5294790000000003,16969000
2009-01-21,4.33,4.65,3.84,3.99,3.337114,26181000
2009-01-22,3.88,3.88,2.7,2.85,2.383653,34289300
2009-01-23,2.68,2.94,2.5,2.91,2.4338349999999997,37230400
2009-01-26,3.03,3.08,2.63,2.69,2.249834,24308500
2009-01-27,2.83,2.83,2.53,2.61,2.1829240000000003,14727000
2009-01-28,3.05,3.74,2.91,3.56,2.977475,35370500
2009-01-29,3.43,3.76,3.0,3.05,2.550927,18320700
2009-01-30,3.07,3.14,2.36,2.39,1.998923,24969100
2009-02-02,2.28,2.33,2.01,2.09,1.748013,27848900
2009-02-03,2.13,2.15,1.74,1.79,1.497101,24664800
2009-02-04,1.88,2.0,1.47,1.54,1.288009,29534300
2009-02-05,1.58,1.78,1.27,1.64,1.371646,56721700
2009-02-06,1.84,2.7,1.8,2.63,2.199651,70084600
2009-02-09,3.15,3.16,2.71,2.89,2.4171080000000003,52661500
2009-02-10,2.83,2.89,2.02,2.19,1.831649,48304200
2009-02-11,2.38,2.44,2.1,2.25,1.881831,29428300
2009-02-12,2.07,2.24,1.9,2.2,1.8400130000000001,26296300
2009-02-13,2.13,2.17,1.98,2.0,1.672739,20466800
2009-02-17,1.73,1.79,1.65,1.67,1.3967370000000001,19690800
2009-02-18,1.83,1.88,1.32,1.47,1.229463,36377700
2009-02-19,1.53,1.59,1.1,1.21,1.0120069999999999,38030600
2009-02-20,1.05,1.35,1.01,1.03,0.861461,55739000
2009-02-23,1.27,1.48,1.15,1.24,1.0370979999999999,56628500
2009-02-24,1.39,1.5,1.17,1.45,1.212736,61347300
2009-02-25,1.4,2.25,1.28,1.94,1.622557,77874900
2009-02-26,2.53,2.75,2.11,2.29,1.915286,94681100
2009-02-27,1.81,2.28,1.78,2.11,1.7647400000000002,44883900
2009-03-02,2.01,2.07,1.76,1.77,1.480374,25282000
2009-03-03,1.98,1.98,1.63,1.67,1.3967370000000001,27162000
2009-03-04,1.97,1.97,1.7,1.72,1.438555,28464100
2009-03-05,1.62,1.67,1.33,1.37,1.145826,34658900
2009-03-06,1.49,1.51,1.23,1.29,1.078917,26779200
2009-03-09,1.24,1.48,1.22,1.39,1.1625530000000002,27375800
2009-03-10,1.62,1.66,1.52,1.65,1.38001,33064800
2009-03-11,1.71,1.74,1.36,1.54,1.288009,41052400
