Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,16.68,17.299999,15.76,17.09,14.735501000000001,9003400
2009-01-05,16.809998999999998,18.120001000000002,16.219998999999998,17.23,14.856214999999999,12579500
2009-01-06,17.559998999999998,19.91,17.51,19.68,16.968676000000002,17587400
2009-01-07,19.15,19.290001,17.780001000000002,17.91,15.442526,11795800
2009-01-08,17.68,18.950001,17.25,18.48,15.934,11435000
2009-01-09,18.57,18.879998999999998,17.91,18.16,15.658083,8626300
2009-01-12,18.09,18.110001,14.5,14.78,12.743752,18149100
2009-01-13,14.45,15.92,13.63,15.44,13.312819000000001,15062400
2009-01-14,14.8,14.88,13.51,13.79,11.890141,13678600
2009-01-15,13.81,14.1,12.07,13.2,11.381426,17956100
2009-01-16,14.17,14.6,12.6,13.8,11.898767999999999,12116900
2009-01-20,13.38,14.0,11.51,11.51,9.92426,14465400
2009-01-21,12.15,13.65,11.81,13.49,11.631475,16416300
2009-01-22,12.65,12.97,11.75,12.18,10.501955,14277300
2009-01-23,11.48,14.22,11.0,14.1,12.157437,16793400
2009-01-26,14.18,15.65,13.93,14.05,12.114324,15126300
2009-01-27,14.44,14.99,13.98,14.59,12.579929,9195400
2009-01-28,15.8,18.17,15.7,17.709999,15.270083999999999,20180100
2009-01-29,16.549999,16.950001,15.2,15.4,13.278334,15296300
2009-01-30,15.65,15.96,12.83,13.16,11.346938,22196800
2009-02-02,14.34,15.75,13.16,15.12,13.036908,27199400
2009-02-03,15.51,15.84,14.29,14.61,12.597172,15557800
2009-02-04,14.99,15.49,14.44,14.57,12.562679,13966000
2009-02-05,14.77,16.07,14.0,15.09,13.011042,24125900
2009-02-06,12.0,13.0,10.66,12.68,10.933069,70381700
2009-02-09,14.56,15.87,14.24,15.03,12.959308,31552900
2009-02-10,13.87,15.03,12.9,13.05,11.252091,25050300
2009-02-11,13.49,13.98,12.95,13.58,11.709074000000001,14719300
2009-02-12,12.81,12.87,11.89,12.54,10.812356,23399100
2009-02-13,12.75,12.96,12.31,12.46,10.743377,14470800
2009-02-17,11.52,11.69,9.85,9.98,8.605048,25833700
2009-02-18,10.27,10.68,9.3,10.24,8.829227000000001,22764200
2009-02-19,10.6,10.67,7.38,7.73,6.665033,41933500
2009-02-20,6.86,7.49,5.75,6.79,5.8545370000000005,46853300
2009-02-23,8.15,8.25,6.45,6.68,5.7596940000000005,30807100
2009-02-24,6.89,8.59,6.1,8.01,6.906458,41236900
2009-02-25,7.9,7.9,6.62,7.04,6.0700970000000005,36412000
2009-02-26,7.56,7.83,7.01,7.16,6.217722,23730700
2009-02-27,6.42,6.48,5.75,6.1,5.2972220000000005,35357800
2009-03-02,5.86,5.9,4.98,5.11,4.437507,27345100
2009-03-03,5.47,5.52,4.36,4.63,4.020679,25750700
2009-03-04,5.41,5.6,4.07,5.14,4.463561,49111800
2009-03-05,4.87,4.97,3.68,4.13,3.586479,39873900
2009-03-06,4.3,4.37,3.33,3.62,3.143597,30924400
2009-03-09,3.48,4.57,3.39,4.1,3.560428,27966000
2009-03-10,4.6,5.23,4.38,5.19,4.50698,29783500
2009-03-11,5.61,5.85,4.9,5.42,4.7067120000000005,30576800
2009-03-12,5.32,6.4,4.91,6.15,5.340641000000001,34315600
