Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.6,9.33,8.44,9.18,8.658909,3412500
2009-01-05,9.09,10.55,8.86,10.2,9.621008,8437800
2009-01-06,10.37,11.27,10.31,11.17,10.535947,8743400
2009-01-07,10.86,10.97,10.38,10.57,9.970005,6502500
2009-01-08,11.0,11.56,10.41,11.42,10.771757000000001,7809600
2009-01-09,11.28,11.28,8.23,9.15,8.630609,58290200
2009-01-12,9.47,9.5,8.24,8.35,7.876023,17102700
2009-01-13,8.3,8.79,8.08,8.66,8.168424,9429800
2009-01-14,8.5,8.56,7.81,7.9,7.451564,7943700
2009-01-15,7.96,8.09,7.02,7.57,7.140296,10418600
2009-01-16,7.87,8.07,7.09,7.85,7.404402,7663800
2009-01-20,7.53,7.9,6.71,6.78,6.3951400000000005,6147700
2009-01-21,6.94,7.12,6.16,7.08,6.67811,7557900
2009-01-22,6.73,7.03,6.47,6.55,6.178196,6652200
2009-01-23,6.39,7.13,6.17,6.84,6.451733,5436600
2009-01-26,7.55,8.74,7.17,7.82,7.376105,14122800
2009-01-27,7.72,8.22,7.63,7.76,7.319511,5240900
2009-01-28,8.15,9.42,7.98,8.86,8.357069000000001,7757300
2009-01-29,8.66,8.8,7.94,8.0,7.545888000000001,5052400
2009-01-30,8.0,8.07,7.57,7.69,7.289933,5359100
2009-02-02,7.51,8.54,7.43,7.82,7.41317,7518900
2009-02-03,8.12,8.74,7.84,8.59,8.143112,7236000
2009-02-04,8.62,8.97,7.85,7.9,7.48901,7899300
2009-02-05,7.93,8.53,7.8,8.38,7.944039999999999,7907300
2009-02-06,8.4,9.99,8.4,9.3,8.816174,11650200
2009-02-09,9.25,9.25,8.49,8.71,8.256872999999999,8395000
2009-02-10,8.55,9.18,7.24,7.36,6.977103,12729200
2009-02-11,7.56,8.07,7.15,7.67,7.270974000000001,7900300
2009-02-12,7.35,7.48,6.65,7.29,6.9107449999999995,11282700
2009-02-13,7.26,7.63,6.96,7.49,7.100338000000001,6611300
2009-02-17,7.21,7.42,6.89,7.3,6.920224,6724700
2009-02-18,7.61,7.74,6.67,6.9,6.5410330000000005,8726300
2009-02-19,6.88,7.2,5.85,5.88,5.5740989999999995,13143200
2009-02-20,5.58,6.08,5.54,5.87,5.564619,10505100
2009-02-23,6.09,6.61,5.95,6.31,5.9817279999999995,10914300
2009-02-24,6.4,7.88,6.3,7.4,7.015021000000001,11308700
2009-02-25,7.25,7.59,6.81,7.32,6.939182000000001,9381700
2009-02-26,7.5,7.81,7.13,7.24,6.863346000000001,6824200
2009-02-27,7.09,7.25,6.56,6.68,6.332479,7744300
2009-03-02,6.41,6.9,6.37,6.61,6.266121,6422900
2009-03-03,6.75,6.89,6.04,6.09,5.773171,7226100
2009-03-04,6.17,6.63,5.72,6.51,6.171323,9569100
2009-03-05,6.26,6.46,5.98,6.11,5.792133,7097400
2009-03-06,6.2,6.47,5.86,6.08,5.763694,7168400
