Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,10.44,11.11,10.13,10.98,8.889016,8828800
2009-01-05,10.8,11.93,10.62,11.66,9.439522,15490300
2009-01-06,11.69,11.93,11.4,11.69,9.463808,11863400
2009-01-07,11.45,11.77,11.06,11.31,9.156174,12461500
2009-01-08,10.94,11.66,10.74,10.93,8.848539,15256500
2009-01-09,10.81,11.21,10.12,10.3,8.338514,12694400
2009-01-12,10.06,10.53,9.75,9.93,8.038974000000001,9024900
2009-01-13,9.88,10.35,9.75,10.05,8.136125999999999,9879300
2009-01-14,9.82,9.83,9.23,9.47,7.666575999999999,12016400
2009-01-15,9.48,10.14,8.94,9.74,7.885157,12560000
2009-01-16,10.05,10.09,9.32,9.76,7.901350999999999,9625300
2009-01-20,9.76,9.91,8.54,8.73,7.067496,8860400
2009-01-21,8.94,9.28,8.63,9.26,7.4965660000000005,8219000
2009-01-22,9.49,10.02,9.13,9.39,7.60181,13791600
2009-01-23,9.01,9.93,9.01,9.65,7.812297,10147700
2009-01-26,9.65,10.1,9.49,9.73,7.87706,7971700
2009-01-27,9.58,9.95,9.31,9.57,7.7475309999999995,8661800
2009-01-28,9.77,10.25,9.76,10.04,8.128029,9105300
2009-01-29,9.84,9.99,9.38,9.41,7.617999,9812100
2009-01-30,9.46,9.59,8.7,8.95,7.245603,15059300
2009-02-02,8.7,9.49,7.5,8.59,6.954159,42781100
2009-02-03,8.41,9.01,8.13,8.83,7.148453,20670100
2009-02-04,8.72,8.8,8.1,8.32,6.735575,16566500
2009-02-05,8.67,8.99,8.37,8.75,7.083688,18002200
2009-02-06,8.86,9.91,8.76,9.7,7.8527759999999995,16564600
2009-02-09,9.7,9.85,9.17,9.46,7.658477,8117700
2009-02-10,9.35,9.52,8.71,8.78,7.107976,9248400
2009-02-11,8.87,9.19,8.26,8.5,6.881297,12665200
2009-02-12,8.44,8.75,8.1,8.71,7.051305999999999,15384700
2009-02-13,8.85,8.97,8.28,8.63,6.986541000000001,12614500
2009-02-17,8.06,8.44,7.98,8.08,6.541281,13025600
2009-02-18,8.17,8.27,7.72,7.89,6.3874629999999994,12778100
2009-02-19,8.11,8.35,7.6,7.66,6.201264,12208200
2009-02-20,7.55,8.0,7.35,7.86,6.363176999999999,16329100
2009-02-23,8.0,8.0,7.35,7.4,5.990778,15378400
2009-02-24,7.51,8.43,7.3,8.29,6.711288000000001,23297000
2009-02-25,8.24,8.42,7.46,8.1,6.557472,18264400
2009-02-26,8.21,8.39,7.77,7.84,6.346987,7878200
2009-02-27,7.62,8.12,7.42,7.87,6.371272,8228300
2009-03-02,7.57,7.96,7.33,7.37,5.966489,14332500
2009-03-03,7.4,7.54,7.01,7.18,5.812672,13512400
2009-03-04,7.48,7.57,7.08,7.35,5.950299,11646300
2009-03-05,7.12,7.23,6.27,6.58,5.326934,17432600
2009-03-06,7.05,7.45,6.65,6.94,5.618377,21078700
2009-03-09,6.82,7.36,6.67,6.8,5.505039,12282000
2009-03-10,7.0,7.58,6.96,7.36,5.958394999999999,17343700
2009-03-11,7.44,8.05,7.32,7.85,6.398551,16070300
2009-03-12,7.84,8.46,7.59,8.32,6.781647,15128200
2009-03-13,8.21,8.54,7.92,8.33,6.789799,14678700
2009-03-16,8.47,8.62,7.9,7.91,6.447457,7326500
2009-03-17,7.96,8.41,7.7,8.35,6.8061,11038500
2009-03-18,8.07,9.26,8.07,9.09,7.409275999999999,18556300
2009-03-19,9.19,9.24,8.67,8.76,7.140292999999999,12575900
2009-03-20,8.78,8.86,7.86,8.0,6.520815,12532000
2009-03-23,8.47,8.9,7.92,8.86,7.2218029999999995,13107300
2009-03-24,8.72,9.51,8.6,9.07,7.392972,16453900
2009-03-25,9.14,9.48,8.33,8.77,7.148442999999999,17028400
2009-03-26,8.99,9.79,8.99,9.66,7.873883999999999,12074600
2009-03-27,9.47,9.88,8.51,9.71,7.914638,9196200
2009-03-30,9.43,9.43,8.66,8.91,7.262557000000001,11118500
2009-03-31,9.01,9.08,8.38,8.9,7.2544059999999995,12001300
