Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,13.65,15.56,13.65,15.44,15.272379,3350100
2009-01-05,15.3,16.440001000000002,15.0,16.1,15.925215,3901900
2009-01-06,16.35,16.889999,15.8,15.96,15.786735,3775800
2009-01-07,15.9,15.9,14.13,14.52,14.362368,3595400
2009-01-08,14.1,14.48,13.57,14.3,14.144756,2646100
2009-01-09,14.36,14.49,13.19,13.39,13.244635999999998,2649100
2009-01-12,13.94,13.94,12.25,12.4,12.265383,3280600
2009-01-13,12.4,13.16,12.01,12.79,12.651149,3610600
2009-01-14,13.02,13.02,10.37,10.53,10.415683999999999,8810800
2009-01-15,10.62,10.71,9.75,9.9,9.792523,7559000
2009-01-16,10.52,10.52,9.84,9.93,9.822198,6229700
2009-01-20,9.99,10.0,8.53,8.96,8.862728,6765300
2009-01-21,9.38,9.69,8.9,9.19,9.090231,4998000
2009-01-22,9.14,9.5,8.65,9.37,9.268277000000001,5409200
2009-01-23,9.14,9.8,8.8,9.4,9.297951,3182300
2009-01-26,9.31,9.72,9.02,9.16,9.060557000000001,2242300
2009-01-27,9.46,9.55,8.75,9.1,9.001209,6480900
2009-01-28,9.48,9.64,8.96,9.34,9.238603999999999,4176600
2009-01-29,9.2,9.2,8.46,8.66,8.565984,3023400
2009-01-30,8.67,8.95,7.9,8.0,7.91315,4569500
2009-02-02,8.03,8.29,7.54,8.13,8.041739,3984500
2009-02-03,7.89,8.0,6.55,6.95,6.874549000000001,7742500
2009-02-04,6.83,6.9,5.94,5.95,5.885406,6317200
2009-02-05,6.0,6.62,5.68,6.12,6.05356,7699200
2009-02-06,6.38,6.62,6.2,6.49,6.419543,5959900
2009-02-09,6.81,6.81,6.25,6.3,6.231606,3593700
2009-02-10,6.43,6.45,5.47,5.52,5.460073,4741700
2009-02-11,5.79,5.89,5.31,5.6,5.539205,4396600
2009-02-12,5.68,5.87,5.22,5.87,5.806274,4689500
2009-02-13,5.81,5.81,5.1,5.24,5.183114,5204200
2009-02-17,4.9,5.08,4.72,4.8,4.74789,6128100
2009-02-18,4.99,4.99,4.64,4.75,4.6984330000000005,4954400
2009-02-19,4.75,4.89,4.1,4.1,4.05549,4622400
2009-02-20,4.0,4.45,3.93,4.2,4.154404,4791800
2009-02-23,4.59,4.85,4.0,4.27,4.223644,4318900
2009-02-24,4.39,4.7,4.07,4.45,4.40169,6436100
2009-02-25,4.27,4.3,3.78,4.0,3.956575,6176600
2009-02-26,4.23,4.55,4.0,4.45,4.40169,5999200
2009-02-27,4.24,4.25,3.33,3.5,3.4620029999999997,8089000
2009-03-02,3.35,3.35,2.78,3.05,3.016889,9183200
2009-03-03,3.08,3.08,2.4,2.62,2.591557,9734900
2009-03-04,2.0,2.67,1.89,2.21,2.186008,9914100
2009-03-05,2.05,2.22,1.88,1.89,1.8694819999999999,7412400
2009-03-06,1.87,2.01,1.81,1.99,1.9683959999999998,5592900
2009-03-09,2.03,2.48,1.99,2.33,2.304705,5461900
2009-03-10,2.42,3.19,2.36,2.87,2.8388430000000002,7797600
2009-03-11,3.2,3.25,2.61,2.7,2.670688,4378600
2009-03-12,2.78,3.26,2.69,3.17,3.135586,3873200
2009-03-13,3.46,3.83,3.35,3.53,3.491678,6048700
2009-03-16,3.51,3.8,2.87,3.23,3.194934,5688100
2009-03-17,3.32,3.48,3.0,3.03,2.997106,4117000
2009-03-18,2.9,3.18,2.56,2.87,2.8388430000000002,8718600
2009-03-19,3.13,3.24,2.88,3.22,3.185043,4649100
2009-03-20,3.13,3.17,2.76,3.05,3.016889,4062400
2009-03-23,3.25,3.25,2.91,3.11,3.076237,5688300
2009-03-24,2.91,3.2,2.78,3.02,2.987214,6715300
2009-03-25,3.1,3.2,2.75,2.86,2.828951,5591500
2009-03-26,3.1,3.18,2.82,3.09,3.056454,6173200
2009-03-27,2.73,3.66,2.51,2.85,2.81906,16099100
2009-03-30,2.8,2.85,2.29,2.4,2.373945,7395600
2009-03-31,2.56,2.56,2.28,2.33,2.304705,5243300
2009-04-01,2.44,2.63,2.34,2.63,2.601448,7081500
2009-04-02,3.3,3.63,2.81,3.14,3.105911,26445600
2009-04-03,3.4,4.67,3.23,4.65,4.599519,35749700
2009-04-06,4.95,6.7,4.85,5.53,5.469965,55730000
2009-04-07,5.41,5.65,4.33,4.45,4.40169,36302900
2009-04-08,4.75,4.98,4.43,4.75,4.6984330000000005,12649500
2009-04-09,4.91,5.33,4.73,5.3,5.242462000000001,18129500
2009-04-13,5.99,6.33,5.62,6.25,6.182148000000001,24972400
2009-04-14,6.65,7.57,6.49,6.6,6.5283489999999995,25626000
2009-04-15,6.92,7.19,6.1,6.39,6.320628,18461000
2009-04-16,6.71,6.79,5.8,5.9,5.835948999999999,16623600
2009-04-17,5.11,6.85,4.81,6.3,6.231606,55643000
2009-04-20,5.94,5.94,5.0,5.02,4.965502,17406400
2009-04-21,4.68,5.44,4.5,5.4,5.341377,12731300
2009-04-22,5.47,5.87,5.31,5.52,5.460073,15189600
2009-04-23,5.67,6.04,5.5,5.72,5.657902,13904200
2009-04-24,5.84,6.28,5.76,6.08,6.013994,20734600
2009-04-27,5.8,5.9,5.47,5.51,5.450182,11338100
2009-04-28,5.31,6.2,5.24,5.8,5.7370339999999995,21978400
2009-04-29,6.1,6.28,6.0,6.18,6.112908,14272900
2009-04-30,8.76,9.94,7.9,8.38,8.289024000000001,72899700
2009-05-01,8.34,8.44,7.6,7.86,7.7746710000000006,25200700
2009-05-04,8.19,9.5,8.1,9.44,9.337517,33471900
2009-05-05,11.06,13.6,10.75,12.8,12.661041,76389300
2009-05-06,13.5,14.01,11.18,11.78,11.652113,45822700
2009-05-07,12.42,12.5,10.95,11.55,11.424610000000001,19688100
2009-05-08,11.64,12.74,11.31,12.58,12.443427999999999,20270700
2009-05-11,12.26,13.46,11.6,13.1,12.957784,21566000
2009-05-12,13.46,13.78,11.5,12.4,12.265383,23428800
2009-05-13,10.83,11.01,8.32,8.7,8.605551,59661000
2009-05-14,7.73,8.8,7.25,7.76,7.675756,136844900
2009-05-15,7.99,8.5,7.53,7.67,7.586733000000001,52549100
2009-05-18,8.25,8.77,8.0,8.74,8.645116999999999,52893500
2009-05-19,8.86,9.07,8.3,8.34,8.249458,40953300
2009-05-20,8.64,8.78,8.08,8.17,8.081305,29296800
2009-05-21,7.95,8.17,7.65,7.79,7.705430000000001,24750400
2009-05-22,7.92,7.96,7.21,7.59,7.507600999999999,36720100
2009-05-26,7.34,7.73,7.08,7.14,7.062487,41579400
2009-05-27,7.41,7.58,7.01,7.24,7.161401,43177600
2009-05-28,7.4,7.49,6.95,7.14,7.062487,22514500
2009-05-29,7.24,7.52,7.1,7.46,7.3790130000000005,28439300
2009-06-01,7.75,8.4,7.64,8.36,8.269242,40840000
2009-06-02,8.27,8.3,7.77,7.92,7.8340190000000005,29150300
2009-06-03,7.78,7.78,7.35,7.49,7.408687,19298700
2009-06-04,7.58,7.7,7.24,7.53,7.448253,25344000
2009-06-05,7.73,7.75,7.31,7.52,7.4383610000000004,21310000
2009-06-08,7.38,7.39,7.1,7.31,7.230641,17427300
2009-06-09,7.26,7.3,7.09,7.15,7.072378,15791200
2009-06-10,7.41,7.42,6.95,7.04,6.963572999999999,26899900
2009-06-11,7.12,7.22,6.94,6.98,6.904223,18982700
2009-06-12,7.07,7.15,6.71,7.13,7.052596,18007900
2009-06-15,6.96,6.99,6.5,6.53,6.45911,22163900
2009-06-16,6.65,6.97,6.5,6.65,6.577806,23650700
2009-06-17,6.67,6.7,6.18,6.45,6.379976999999999,21878500
2009-06-18,6.48,6.57,6.2,6.37,6.300846,16616100
2009-06-19,6.47,6.65,6.38,6.57,6.498675,17233300
2009-06-22,6.42,6.43,5.89,5.92,5.855731,20877300
2009-06-23,5.95,6.08,5.51,5.84,5.7766,23220400
