Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.01,14.83,13.85,14.77,13.549689,5720900
2009-01-05,14.4,14.82,14.27,14.39,13.201085,8803000
2009-01-06,14.2,14.76,13.93,14.64,13.430429,10872000
2009-01-07,14.33,14.49,13.79,13.94,12.788261,9483700
2009-01-08,14.17,15.15,13.97,15.11,13.861595000000001,10765200
2009-01-09,14.95,15.1,14.35,14.75,13.531341000000001,6256900
2009-01-12,14.33,14.46,13.89,14.18,13.008434,8390000
2009-01-13,14.14,14.33,13.56,13.82,12.678177999999999,8099200
2009-01-14,13.78,14.12,13.57,13.81,12.669004,6659200
2009-01-15,14.12,14.45,13.55,14.26,13.081825,13015000
2009-01-16,14.4,14.99,14.23,14.92,13.687294,10218100
2009-01-20,14.54,14.78,13.58,13.6,12.476353999999999,7578600
2009-01-21,13.82,14.1,13.5,14.01,12.85248,6769500
2009-01-22,13.68,14.61,13.6,14.35,13.16439,7156100
2009-01-23,14.08,15.69,13.85,15.32,14.054246,14749200
2009-01-26,15.3,15.91,14.7,14.85,13.623079,10679600
2009-01-27,14.93,15.53,14.85,15.4,14.127637,7648400
2009-01-28,15.56,16.32,15.53,16.26,14.916582,8422200
2009-01-29,16.0,16.280001000000002,15.84,15.94,14.623021,6294900
2009-01-30,16.049999,16.26,14.77,14.83,13.604729,9407100
2009-02-02,14.77,15.37,14.34,15.19,13.934985000000001,12256000
2009-02-03,15.39,15.39,14.62,15.31,14.045074,6041800
2009-02-04,15.23,15.7,14.97,15.05,13.806555,8942100
2009-02-05,14.85,15.42,14.65,15.37,14.100114999999999,10442300
2009-02-06,15.25,16.26,15.21,16.139999,14.806498000000001,9533400
2009-02-09,16.4,16.74,15.85,16.299999,14.953278,14211800
2009-02-10,15.97,16.299999,14.77,14.93,13.696470999999999,16317900
2009-02-11,15.25,15.5,14.89,15.2,13.944162,13069400
2009-02-12,14.1,16.700001,14.07,16.4,15.045012,31457100
2009-02-13,16.209999,16.48,15.87,16.110001,14.778975,10119900
2009-02-17,15.67,15.92,15.36,15.59,14.301941000000001,8785500
2009-02-18,15.66,15.84,15.01,15.15,13.898291,10059600
