Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,9.8,10.56,9.8,10.52,8.836008,2988600
2009-01-05,10.5,10.58,10.17,10.55,8.861203,3715000
2009-01-06,10.63,10.95,10.41,10.56,8.869598,5508200
2009-01-07,10.4,10.46,10.03,10.09,8.474839,4472700
2009-01-08,10.06,10.21,9.86,10.18,8.550431,4782800
2009-01-09,10.22,10.34,9.85,10.11,8.491634,2578000
2009-01-12,10.11,10.23,9.97,10.06,8.449638,3163400
2009-01-13,9.67,9.77,9.39,9.54,8.012881,3574800
2009-01-14,9.39,9.52,9.16,9.21,7.735703999999999,3246900
2009-01-15,9.2,9.2,8.61,8.84,7.4249350000000005,4996100
2009-01-16,8.97,8.98,8.78,8.83,7.416531,4509500
2009-01-20,8.9,9.1,8.5,8.57,7.198153,5546100
2009-01-21,8.59,8.81,8.35,8.79,7.382934,3171100
2009-01-22,8.66,8.83,8.44,8.64,7.2569479999999995,3096400
2009-01-23,8.3,8.83,8.25,8.69,7.2989440000000005,4771300
2009-01-26,8.82,9.16,8.57,8.8,7.391335000000001,3776400
2009-01-27,8.88,8.96,8.54,8.73,7.33254,3797100
2009-01-28,8.92,9.28,8.83,9.21,7.735703999999999,3456800
2009-01-29,9.1,9.38,8.63,8.73,7.33254,5180800
2009-01-30,9.17,9.17,8.0,8.08,6.786589,5113200
2009-02-02,8.01,8.18,7.81,8.1,6.803388000000001,3300500
2009-02-03,8.13,8.16,7.85,8.09,6.794989999999999,3905400
2009-02-04,8.13,8.29,7.76,7.84,6.585007000000001,3686000
2009-02-05,7.85,8.12,7.61,8.06,6.769792999999999,5280600
2009-02-06,8.05,8.56,7.96,8.42,7.072163000000001,3526700
2009-02-09,8.43,8.6,8.2,8.38,7.038568,2319300
2009-02-10,8.28,8.47,7.65,7.76,6.5178139999999996,5120100
2009-02-11,7.82,7.99,7.62,7.71,6.475819,5398600
2009-02-12,7.7,7.82,7.5,7.79,6.543012,6112600
2009-02-13,7.74,7.81,7.52,7.58,6.366626999999999,5169000
2009-02-17,7.44,7.46,7.16,7.33,6.156645,5327300
2009-02-18,7.37,7.37,6.89,6.94,5.829076000000001,5525400
2009-02-19,7.04,7.04,6.52,6.53,5.484706,7151700
2009-02-20,6.4,6.5,6.01,6.41,5.383915,4807800
2009-02-23,6.47,6.49,6.2,6.24,5.241128,3758700
2009-02-24,6.26,6.28,5.91,6.12,5.140337000000001,6188600
2009-02-25,6.08,6.16,5.69,5.82,4.973693,7155800
2009-02-26,5.96,5.99,5.71,5.73,4.896780000000001,6760300
2009-02-27,5.61,5.86,5.61,5.65,4.828412999999999,4146700
2009-03-02,5.53,5.61,5.1,5.11,4.366936,4368300
2009-03-03,5.17,5.44,4.89,4.95,4.230201999999999,7181800
2009-03-04,5.02,5.19,4.8,5.04,4.3071150000000005,6016400
2009-03-05,4.94,4.98,4.64,4.71,4.025103,4920900
2009-03-06,4.76,4.86,4.59,4.71,4.025103,5066700
2009-03-09,4.66,4.85,4.51,4.54,3.8798230000000005,3291300
2009-03-10,4.64,4.92,4.55,4.8,4.102016000000001,7089400
2009-03-11,4.83,5.0,4.79,4.86,4.15329,3541200
2009-03-12,4.86,5.23,4.71,5.21,4.452396,4638100
2009-03-13,5.27,5.65,5.21,5.61,4.794231,5467900
2009-03-16,6.33,6.54,6.1,6.17,5.272797,8494900
2009-03-17,6.16,6.34,6.11,6.32,5.400987000000001,5229400
2009-03-18,6.39,7.06,6.34,6.87,5.871009,8906200
2009-03-19,6.97,7.08,6.62,6.71,5.734274,5971400
2009-03-20,6.77,6.81,6.43,6.58,5.623178,5060700
2009-03-23,6.75,7.26,6.65,7.25,6.1957510000000005,5052700
2009-03-24,6.39,6.89,6.35,6.56,5.6060870000000005,12659600
2009-03-25,6.62,6.8,5.95,6.18,5.281344,22613700
2009-03-26,6.19,6.95,6.18,6.84,5.84537,15628300
2009-03-27,6.59,7.07,6.59,6.91,5.905193,8111100
2009-03-30,6.76,6.8,6.26,6.36,5.435169999999999,6727300
2009-03-31,6.43,6.52,6.2,6.38,5.452262,9432300
2009-04-01,6.27,6.69,6.22,6.64,5.674453,5834900
2009-04-02,6.8,7.34,6.75,7.19,6.144476999999999,8132900
2009-04-03,7.2,7.42,6.96,7.3,6.23848,3380500
2009-04-06,7.2,7.32,6.94,7.17,6.127386,4777000
2009-04-07,7.02,7.18,6.9,6.96,5.947923,3239200
2009-04-08,7.0,7.14,6.8,6.94,5.930829,3158800
2009-04-09,7.17,7.57,7.17,7.57,6.46922,3949500
2009-04-13,7.5,7.63,7.27,7.5,6.409398,3509800
2009-04-14,7.42,7.45,7.15,7.19,6.144476999999999,3621600
2009-04-15,7.1,7.53,7.05,7.49,6.400853,4498300
2009-04-16,7.68,7.75,7.3,7.45,6.366669,6245600
2009-04-17,7.45,8.04,7.36,7.92,6.768324000000001,8908600
2009-04-20,7.78,7.85,7.28,7.34,6.272664,5363600
2009-04-21,7.33,7.79,7.33,7.61,6.503404,6817600
2009-04-22,7.63,8.57,7.53,8.17,6.981973,9305300
2009-04-23,8.2,8.51,8.15,8.41,7.187071,8578500
2009-04-24,8.35,8.35,7.98,8.3,7.093069,11408300
2009-04-27,8.17,8.35,7.94,8.08,6.905059,5351300
2009-04-28,8.0,8.37,7.92,8.21,7.016155,5634600
2009-04-29,8.31,8.99,8.25,8.67,7.409264,9301900
2009-04-30,9.57,11.15,9.57,10.45,8.930427,25214400
2009-05-01,10.37,11.06,10.16,10.81,9.238082,10435000
2009-05-04,10.88,11.39,10.8,11.32,9.673919,7954600
2009-05-05,11.25,11.42,10.92,11.11,9.494456,5612300
2009-05-06,11.27,11.27,10.75,10.84,9.263717,7382600
2009-05-07,10.96,11.09,10.6,10.83,9.255173,6760000
2009-05-08,10.92,11.32,10.7,11.32,9.673919,4282900
2009-05-11,11.12,11.31,10.66,10.74,9.178261000000001,5720300
2009-05-12,11.07,11.34,10.33,10.66,9.109892,6369300
2009-05-13,10.5,10.54,9.84,10.11,8.639867,6075700
2009-05-14,10.1,10.44,9.92,10.37,8.862060000000001,5522400
2009-05-15,10.4,10.94,10.19,10.39,8.879153,6126200
2009-05-18,10.49,10.7,10.25,10.69,9.135530000000001,4028400
2009-05-19,10.57,10.93,10.52,10.91,9.32354,6251300
2009-05-20,11.02,11.39,10.93,11.11,9.494456,7178200
2009-05-21,11.1,11.12,10.59,10.86,9.28081,8215700
2009-05-22,10.88,11.2,10.86,11.11,9.494456,3450000
