Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,22.889999,23.860001,21.15,23.6,18.702206,2876200
2009-01-05,23.280001000000002,23.99,22.709999,23.08,18.290121,2389800
2009-01-06,23.4,24.799999,22.969998999999998,24.48,19.399573999999998,3214800
2009-01-07,23.790001,23.790001,21.620001000000002,21.83,17.299536,3067000
2009-01-08,21.66,22.299999,21.059998999999998,21.9,17.355013,2938000
2009-01-09,21.98,22.549999,20.74,20.940001000000002,16.594242,2407900
2009-01-12,20.870001000000002,20.870001000000002,18.27,18.549999,14.700251000000002,4474000
2009-01-13,18.26,19.85,18.15,19.1,15.136109,4140300
2009-01-14,18.58,18.620001000000002,16.389999,16.940001000000002,13.42438,3946500
2009-01-15,16.889999,17.35,15.44,16.4,12.996448,4589300
2009-01-16,17.049999,17.68,15.19,16.190001000000002,12.83003,4132300
2009-01-20,16.02,16.17,13.48,13.95,11.054905999999999,6105200
2009-01-21,15.21,16.389999,14.36,16.290001,12.909276,6277000
2009-01-22,15.59,15.9,14.03,14.91,11.815673,5919000
2009-01-23,14.17,15.99,13.59,15.7,12.441721000000001,4323500
2009-01-26,16.120001000000002,16.889999,14.96,15.48,12.267377,3880500
2009-01-27,15.76,16.559998999999998,15.31,16.49,13.067769,3244000
2009-01-28,17.9,20.700001,17.5,20.48,16.22971,6329800
2009-01-29,19.790001,19.790001,17.450001,17.84,14.137602,4439100
2009-01-30,18.25,18.52,16.43,16.59,13.147015,3690700
2009-02-02,16.01,17.23,15.81,17.030001000000002,13.495701,3219600
2009-02-03,17.389999,17.389999,15.05,16.639999,13.186639000000001,4008200
2009-02-04,16.75,17.66,15.91,16.190001000000002,12.83003,3009400
2009-02-05,16.360001,17.860001,15.63,16.620001000000002,13.170789000000001,5028400
2009-02-06,16.65,17.5,15.91,16.83,13.337207999999999,5144900
2009-02-09,17.549999,18.83,16.9,17.030001000000002,13.495701,7733000
2009-02-10,12.95,13.66,11.5,11.99,9.501671,22830400
2009-02-11,11.94,12.44,11.0,11.66,9.240157,6466200
2009-02-12,11.06,12.15,10.46,12.04,9.541295,6583200
2009-02-13,11.84,12.0,11.32,11.64,9.224308,4303100
2009-02-17,11.32,11.32,10.5,10.82,8.574485000000001,6387500
2009-02-18,11.05,11.19,10.32,10.55,8.360521,5365200
2009-02-19,11.01,11.67,10.34,10.51,8.328821000000001,11782300
2009-02-20,10.0,10.93,9.16,10.52,8.336744,9469200
2009-02-23,10.8,11.1,9.3,9.34,7.401635000000001,9025900
2009-02-24,9.54,11.11,9.15,11.07,8.772602000000001,8563600
2009-02-25,10.95,10.95,9.48,10.33,8.186177,8497400
2009-02-26,10.57,11.43,10.27,10.59,8.392219,5718300
2009-02-27,9.0,9.44,7.75,7.99,6.331805999999999,15432300
2009-03-02,7.7,8.0,7.27,7.3,5.785004,7684200
2009-03-03,7.54,7.77,6.7,6.86,5.436319,8712200
2009-03-04,7.24,7.82,6.02,7.31,5.792929,10293800
2009-03-05,6.8,7.12,5.95,6.38,5.055934,8529700
2009-03-06,6.5,6.74,5.66,6.08,4.818194999999999,7015000
2009-03-09,5.73,6.49,5.41,5.88,4.659701,6252100
2009-03-10,6.33,7.35,5.74,7.27,5.7612309999999995,9066100
2009-03-11,8.11,8.15,6.85,7.53,5.967272,7067000
2009-03-12,7.49,8.43,6.96,8.2,6.498224,8290900
2009-03-13,8.31,8.78,7.49,7.77,6.157462000000001,9264400
2009-03-16,8.05,8.7,7.3,7.38,5.848402,12602400
2009-03-17,7.55,8.22,6.85,8.14,6.4506760000000005,8973400
2009-03-18,8.0,9.15,7.8,8.9,7.052950999999999,14205900
2009-03-19,9.25,9.5,7.7,7.78,6.165389,9815900
2009-03-20,7.75,7.75,6.81,7.0,5.547263,8503900
2009-03-23,7.62,8.41,7.36,8.41,6.6646399999999995,11187500
2009-03-24,8.0,9.41,7.61,8.65,6.854832000000001,10623400
2009-03-25,8.92,9.58,8.35,9.12,7.227291999999999,10313200
2009-03-26,9.46,10.0,9.17,9.92,7.8612660000000005,8003800
2009-03-27,9.69,10.81,9.44,10.3,8.162403,7303500
2009-03-30,9.72,9.72,7.87,7.98,6.323881,8589800
2009-03-31,7.49,8.62,7.41,8.18,6.482374,9171400
2009-04-01,7.92,8.33,7.74,8.16,6.466525,7559000
2009-04-02,8.75,9.45,8.71,8.78,6.957853,7194400
2009-04-03,8.88,10.53,8.6,10.53,8.344672000000001,9337300
2009-04-06,9.95,10.77,9.81,10.63,8.423917999999999,8504100
2009-04-07,10.14,10.8,9.6,10.15,8.043531,8537100
2009-04-08,13.2,14.25,11.75,12.31,9.75526,20320300
2009-04-09,12.93,14.68,12.64,14.47,11.466989,11476800
2009-04-13,13.76,15.5,13.52,14.97,11.863218,8574800
2009-04-14,14.71,14.88,12.91,13.04,10.33376,7788500
2009-04-15,13.04,14.03,12.45,13.78,10.920185,7108800
2009-04-16,14.01,14.24,13.0,13.76,10.904336,7845900
2009-04-17,13.63,15.0,13.16,14.72,11.665107,7292400
2009-04-20,14.43,14.56,12.84,12.92,10.238666,7699400
2009-04-21,12.29,14.18,11.92,14.0,11.094526,7224400
2009-04-22,13.59,14.78,13.05,14.21,11.260947999999999,7539600
2009-04-23,14.44,15.0,13.94,14.87,11.783974,5655100
2009-04-24,14.99,15.6,14.4,15.31,12.132655999999999,6681600
2009-04-27,14.57,15.2,14.45,14.68,11.633409,5996800
2009-04-28,14.21,14.75,13.84,14.18,11.237173,4499400
2009-04-29,14.54,15.9,14.35,15.66,12.410022999999999,5644300
2009-04-30,16.190001000000002,17.129998999999998,15.79,16.34,12.9489,8118100
2009-05-01,15.92,16.49,15.18,15.43,12.227754,7029900
2009-05-04,16.08,17.059998999999998,15.47,16.93,13.416456,9313500
2009-05-05,17.32,20.27,17.299999,18.75,14.858745,9751200
2009-05-06,19.15,24.370001000000002,18.75,23.290001,18.456543,15540800
2009-05-07,24.4,24.9,20.9,21.450001,16.998404999999998,10114100
2009-05-08,21.76,24.34,20.93,23.68,18.765606,7093100
2009-05-11,21.35,21.780001000000002,20.16,20.34,16.118763,8222800
2009-05-12,20.120001000000002,20.26,19.16,19.74,15.643285999999998,38848500
2009-05-13,19.799999,19.799999,18.5,18.549999,14.700251000000002,13362500
2009-05-14,18.52,19.85,18.25,18.860001,14.945917000000001,10591100
2009-05-15,19.91,19.91,18.32,18.58,14.724025,8963900
2009-05-18,19.040001,20.700001,18.540001,20.57,16.301033,9056700
2009-05-19,20.84,21.74,20.139999,20.809998999999998,16.491224,9627100
2009-05-20,21.52,22.23,20.02,20.209999,16.015751,7853600
2009-05-21,19.65,20.92,19.65,20.25,16.047447000000002,5280600
2009-05-22,20.360001,21.129998999999998,19.91,20.58,16.308954,4220200
2009-05-26,21.450001,21.450001,20.15,20.790001,16.475372,6065600
