Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,11.09,11.26,10.5,11.17,10.442886,3744200
2009-01-05,11.08,12.3,10.91,12.14,11.349745,7328700
2009-01-06,12.23,12.9,12.18,12.83,11.994829,8457200
2009-01-07,12.42,12.75,11.8,12.05,11.265605,6634800
2009-01-08,11.52,12.44,11.5,12.35,11.546076,7051700
2009-01-09,12.36,12.38,11.23,11.75,10.985133,13779100
2009-01-12,11.8,11.91,10.62,10.73,10.031528999999999,5874000
2009-01-13,10.67,11.18,10.5,10.96,10.246557000000001,6658700
2009-01-14,10.58,10.81,10.1,10.27,9.601474000000001,6104100
2009-01-15,10.2,11.24,9.81,10.66,9.966085000000001,12085500
2009-01-16,11.19,11.43,10.41,11.15,10.424189,10552400
2009-01-20,11.11,11.2,10.2,10.41,9.732358,9654900
2009-01-21,10.65,10.72,9.7,10.6,9.909994000000001,9435500
2009-01-22,10.16,10.88,10.16,10.55,9.863247,7924600
2009-01-23,10.15,11.07,10.06,10.74,10.040878,8304800
2009-01-26,10.82,11.5,10.57,11.0,10.283954,8502900
2009-01-27,11.01,11.4,10.52,10.73,10.031528999999999,5367500
2009-01-28,10.94,12.06,10.93,11.65,10.891642,9678100
2009-01-29,11.51,11.74,10.57,10.63,9.938039,7107200
2009-01-30,10.74,10.85,10.07,10.15,9.489283,6037400
2009-02-02,9.99,10.77,9.84,10.24,9.573425,6968800
2009-02-03,10.24,11.09,10.19,10.92,10.209162,7273900
2009-02-04,11.04,11.26,10.56,10.83,10.12502,7459100
2009-02-05,10.6,11.51,10.52,11.28,10.545726,11658000
2009-02-06,11.1,12.86,11.04,12.34,11.536726,15219000
2009-02-09,12.34,12.34,11.14,11.36,10.620517999999999,15199900
2009-02-10,11.3,11.8,10.01,10.2,9.53603,13382600
2009-02-11,10.39,11.26,9.91,10.91,10.199813,13735800
2009-02-12,10.46,10.67,9.75,10.55,9.863247,12254100
2009-02-13,10.42,10.96,10.17,10.77,10.068925,7597400
2009-02-17,10.21,10.48,9.79,9.92,9.274258,11778300
2009-02-18,10.16,10.22,9.31,9.51,8.890945,8063900
2009-02-19,9.67,9.81,8.72,8.73,8.161719,11094200
2009-02-20,8.38,9.01,8.25,8.71,8.143021000000001,11853800
2009-02-23,8.87,9.2,8.61,8.76,8.189766,9145400
2009-02-24,9.03,10.36,8.95,9.9,9.255557000000001,10970400
2009-02-25,9.83,10.18,9.3,9.86,9.218164,10567700
2009-02-26,10.0,10.29,9.5,9.56,8.937689,8103500
2009-02-27,9.27,9.87,9.06,9.18,8.582426,7838000
2009-03-02,8.65,9.42,8.41,8.54,7.984088000000001,9155800
2009-03-03,8.7,8.84,8.01,8.08,7.554031,8289700
2009-03-04,8.36,8.5,7.96,8.33,7.787758999999999,7450800
2009-03-05,8.04,8.37,8.0,8.18,7.647521,7609300
2009-03-06,8.28,8.43,7.74,7.9,7.385749000000001,9084700
2009-03-09,7.76,8.58,7.71,8.08,7.554031,8211300
2009-03-10,8.31,9.49,8.31,9.38,8.769407000000001,9890700
2009-03-11,9.51,9.57,8.98,9.19,8.591776,4677600
2009-03-12,9.13,10.07,8.9,10.02,9.367746,6285800
2009-03-13,10.19,10.29,9.47,10.0,9.349049,4721600
2009-03-16,10.13,10.29,9.47,9.52,8.900293,5114000
2009-03-17,9.72,10.17,9.37,10.16,9.498633,6014400
2009-03-18,10.09,11.4,9.65,10.95,10.237208,10296100
2009-03-19,11.25,11.29,10.28,10.33,9.657568,6660900
2009-03-20,10.35,10.39,9.65,9.8,9.16207,6678900
2009-03-23,10.23,11.08,9.9,11.08,10.358747,6643700
2009-03-24,10.9,11.22,10.69,10.87,10.162415,5807200
2009-03-25,11.0,12.33,10.67,11.12,10.396142999999999,12854600
2009-03-26,11.29,11.86,11.29,11.5,10.751406,10353600
2009-03-27,11.29,11.61,11.07,11.4,10.657913,7454100
2009-03-30,11.05,11.07,10.73,11.02,10.302651,8548100
2009-03-31,11.13,11.16,10.43,10.93,10.218511999999999,6800400
2009-04-01,10.69,11.5,10.46,11.23,10.498981,6458700
2009-04-02,11.54,11.68,11.11,11.39,10.648566,10284900
2009-04-03,11.38,11.58,11.0,11.54,10.788802,7658900
2009-04-06,11.24,11.61,10.99,11.57,10.816849000000001,5535900
2009-04-07,11.25,11.34,10.73,10.77,10.068925,5543900
2009-04-08,10.55,10.6,9.33,9.64,9.012483,39762800
2009-04-09,9.92,10.36,9.67,10.11,9.451887,13985300
2009-04-13,9.9,10.31,9.82,10.21,9.545378,7244000
2009-04-14,10.07,10.54,9.92,10.19,9.526679,8650000
2009-04-15,10.09,11.1,10.0,10.75,10.050228,12641900
2009-04-16,11.01,11.32,10.6,11.19,10.461585000000001,10124600
2009-04-17,11.21,11.94,11.16,11.64,10.882292,9760500
2009-04-20,11.21,11.41,10.57,10.66,9.966085000000001,7735100
2009-04-21,10.44,11.14,10.34,11.05,10.330699000000001,9473500
2009-04-22,10.93,11.89,10.66,11.03,10.311997999999999,9911700
2009-04-23,11.19,11.49,10.15,11.17,10.442886,10739800
2009-04-24,11.19,12.2,11.18,11.99,11.209508999999999,10141600
2009-04-27,11.75,12.45,11.69,11.97,11.190811,9386100
2009-04-28,11.66,11.77,11.29,11.5,10.751406,8737200
2009-04-29,11.75,12.19,11.49,11.86,11.087972,7953800
2009-04-30,12.11,12.25,11.38,11.51,10.760756,11205000
2009-05-01,11.38,11.7,10.95,11.14,10.414839,6972600
2009-05-04,11.49,12.25,11.25,12.16,11.368443,8066400
2009-05-05,12.15,12.4,11.82,12.3,11.499331,10747700
2009-05-06,12.07,12.16,10.5,11.31,10.573774,29031900
2009-05-07,11.57,11.59,10.5,10.9,10.190463000000001,12975300
2009-05-08,11.08,11.54,10.67,11.47,10.723359,10789200
2009-05-11,11.24,11.47,10.88,11.23,10.498981,7575400
2009-05-12,11.31,11.42,10.33,10.71,10.012831,10474500
2009-05-13,10.49,10.49,9.77,9.87,9.22751,10693300
2009-05-14,9.88,10.24,9.5,9.75,9.115319,11763600
2009-05-15,9.96,10.14,9.48,9.63,9.003134,9652900
2009-05-18,9.94,10.37,9.72,10.3,9.629521,11049600
2009-05-19,10.16,10.46,9.83,10.03,9.377094999999999,11600300
2009-05-20,10.16,10.56,9.42,9.52,8.900293,13194500
2009-05-21,9.38,9.51,9.03,9.25,8.647871,9871000
2009-05-22,9.4,9.47,9.0,9.36,8.75071,6639700
2009-05-26,9.35,9.74,9.16,9.61,8.984436,9463000
2009-05-27,9.64,10.04,9.36,9.4,8.788107,9833100
2009-05-28,9.64,9.65,8.44,8.67,8.105625999999999,18848400
2009-05-29,8.81,9.09,8.61,8.8,8.227165,9335900
2009-06-01,9.09,9.09,8.6,8.67,8.105625999999999,12163000
2009-06-02,8.69,9.13,8.61,8.97,8.386095,10238000
2009-06-03,9.05,9.05,8.45,8.59,8.030831,8927200
2009-06-04,8.72,8.72,8.3,8.54,7.984088000000001,6458600
2009-06-05,8.83,9.06,8.55,8.8,8.227165,13188900
2009-06-08,8.66,9.17,8.64,9.05,8.460889,9233200
2009-06-09,9.22,9.72,9.1,9.56,8.937689,10398600
2009-06-10,9.75,9.77,9.25,9.41,8.797456,7111800
2009-06-11,9.34,9.42,8.83,8.87,8.292606,12222500
2009-06-12,8.87,8.94,8.63,8.82,8.245859,6032800
2009-06-15,8.74,8.75,8.54,8.61,8.049531,4951700
2009-06-16,8.83,8.98,8.54,8.68,8.114975,7218800
2009-06-17,8.68,9.01,8.42,8.86,8.283257,8124100
2009-06-18,8.8,8.89,8.48,8.57,8.012135,6503900
2009-06-19,8.67,8.86,8.62,8.78,8.208464,7910000
2009-06-22,8.66,8.95,8.66,8.77,8.199117,5409200
2009-06-23,8.94,8.96,8.59,8.65,8.086926,8504100
2009-06-24,8.65,8.99,8.4,8.47,7.918645,8505700
2009-06-25,8.46,9.01,8.46,8.96,8.376747,6434400
2009-06-26,9.04,9.11,8.74,8.76,8.189766,6415900
2009-06-29,8.83,8.99,8.61,8.97,8.386095,6474700
2009-06-30,8.97,9.11,8.76,8.83,8.255208999999999,6997000
2009-07-01,8.91,9.1,8.79,8.96,8.376747,4390100
2009-07-02,8.91,8.91,8.52,8.52,7.965391,3383700
2009-07-06,8.46,8.55,8.2,8.32,7.7784070000000005,5839400
2009-07-07,8.21,8.28,8.09,8.09,7.563381,4598900
