Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,24.0,24.33,22.620001000000002,23.07,16.631052,1773800
2009-01-05,22.85,23.860001,22.26,22.77,16.41478,2390100
2009-01-06,22.940001000000002,26.030001000000002,22.940001000000002,25.889999,18.663975,4167100
2009-01-07,25.610001,25.92,23.99,24.33,17.539382999999997,2445500
2009-01-08,23.93,24.469998999999998,22.799999,23.68,17.070793,2093500
2009-01-09,23.74,23.870001000000002,22.530001000000002,22.809998999999998,16.443623000000002,2435700
2009-01-12,22.690001000000002,22.809998999999998,20.23,20.57,14.828816,2214300
2009-01-13,19.1,21.219998999999998,17.83,20.959999,15.109963,2517400
2009-01-14,20.200001,20.200001,18.5,18.67,13.459112,2529100
2009-01-15,18.74,19.809998999999998,17.08,18.51,13.343767999999999,3771500
2009-01-16,18.82,19.98,18.040001,19.58,14.115128,3322100
2009-01-20,19.389999,19.99,15.5,15.82,11.40456,4816500
2009-01-21,16.41,18.41,15.93,18.32,13.206797,5162500
2009-01-22,17.26,19.110001,16.790001,17.950001,12.940069,3621700
2009-01-23,16.91,19.389999,16.540001,19.0,13.697007999999999,4055200
2009-01-26,19.07,19.58,17.08,18.049999,13.012157,2759300
2009-01-27,18.26,19.59,17.83,18.41,13.271679999999998,1700800
2009-01-28,18.99,21.0,18.809998999999998,20.91,15.073920000000001,3305900
2009-01-29,20.5,20.5,17.17,17.459999,12.586828,4103300
2009-01-30,17.610001,18.309998999999998,15.84,16.120001000000002,11.620828999999999,3176500
2009-02-02,16.15,16.15,14.77,15.77,11.368517,3678400
2009-02-03,15.89,16.1,15.0,15.58,11.231546,2096000
2009-02-04,15.59,16.43,15.15,15.36,11.072951,1914700
2009-02-05,15.25,16.77,14.28,15.57,11.224337,2965400
2009-02-06,15.8,17.73,15.37,17.469998999999998,12.594038000000001,2765400
2009-02-09,17.42,18.190001000000002,17.110001,17.809998999999998,12.839146000000001,1804900
2009-02-10,17.440001000000002,17.950001,15.68,15.92,11.47665,3429500
2009-02-11,16.26,16.51,15.15,15.83,11.411773,4202200
2009-02-12,15.2,16.18,14.29,15.94,11.491069,4117400
2009-02-13,15.91,16.120001000000002,14.5,14.61,10.532282,3751700
2009-02-17,13.64,13.97,12.84,13.1,9.443728,3118000
2009-02-18,13.63,13.72,12.1,13.65,9.840216999999999,2851500
2009-02-19,13.67,14.49,12.65,12.78,9.21304,4925800
