Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.12,8.67,7.99,8.61,7.449694,8917000
2009-01-05,8.48,9.07,8.4,8.72,7.544873,12011800
2009-01-06,8.86,8.9,8.5,8.83,7.640047999999999,7774200
2009-01-07,8.55,8.55,7.8,7.91,6.844028999999999,11288800
2009-01-08,7.85,7.99,7.74,7.79,6.740201,9061500
2009-01-09,7.88,7.9,7.1,7.17,6.203753,11123200
2009-01-12,7.21,7.34,6.9,7.02,6.073969,12211500
2009-01-13,6.94,7.26,6.7,7.21,6.238363,13708900
2009-01-14,6.92,7.1,6.74,6.85,5.926876999999999,12115100
2009-01-15,6.86,6.86,5.97,6.1,5.27795,17505500
2009-01-16,6.35,6.5,5.81,6.07,5.2519919999999995,16682700
2009-01-20,5.6,5.8,4.6,4.6,3.980092,28075400
2009-01-21,4.79,5.02,4.45,4.95,4.282926,22708300
2009-01-22,4.87,4.95,4.14,4.25,3.67726,18333500
2009-01-23,4.05,4.75,4.0,4.66,4.032006,15574900
2009-01-26,4.91,4.91,4.0,4.1,3.547475,12730100
2009-01-27,4.51,4.65,4.01,4.08,3.5301690000000003,13169500
2009-01-28,4.5,4.73,4.31,4.56,3.9454830000000003,20610000
2009-01-29,4.49,4.49,4.06,4.14,3.5820839999999996,15145500
2009-01-30,4.07,4.21,3.4,3.46,2.993722,19374300
2009-02-02,3.4,3.45,2.67,2.92,2.526495,27033800
2009-02-03,3.13,3.16,2.52,2.61,2.25827,21499800
2009-02-04,2.65,2.79,2.38,2.5,2.163094,15650500
2009-02-05,2.5,3.2,2.35,2.83,2.4486220000000003,28918200
2009-02-06,3.03,4.55,3.01,4.2,3.633997,47574100
2009-02-09,4.7,5.04,4.34,4.64,4.014702,32890000
2009-02-10,4.65,4.67,3.17,3.24,2.80337,47192400
2009-02-11,3.53,3.79,3.39,3.68,3.184075,26647700
2009-02-12,3.37,3.61,3.22,3.57,3.088898,21358200
2009-02-13,3.5,3.68,3.35,3.38,2.924503,13067600
2009-02-17,2.98,3.23,2.98,3.09,2.673584,21006300
2009-02-18,3.26,3.4,2.93,2.99,2.5870599999999997,17067300
2009-02-19,3.0,3.14,2.63,2.64,2.284227,11355900
2009-02-20,2.44,3.02,2.35,2.84,2.457275,23819600
2009-02-23,3.1,3.15,2.64,2.69,2.32749,16631400
2009-02-24,2.66,3.39,2.54,3.29,2.846632,28278100
2009-02-25,3.2,4.1,2.83,3.76,3.253294,38851300
2009-02-26,4.14,4.47,3.61,3.94,3.409036,38114400
2009-02-27,3.3,3.95,3.1,3.42,2.959113,34587500
2009-03-02,3.18,3.8,3.17,3.57,3.088898,20402200
2009-03-03,3.8,3.9,3.41,3.43,2.967764,13501600
2009-03-04,3.6,3.79,3.38,3.52,3.0456369999999997,11990900
2009-03-05,3.39,3.49,2.9,3.1,2.6822369999999998,15967600
2009-03-06,3.15,3.35,2.76,2.94,2.5437990000000004,16812000
