Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.705,4.93,4.665,4.92,4.3821129999999995,14885400
2009-01-05,4.94,5.03,4.8,4.96,4.417742,16070600
2009-01-06,5.025,5.18,4.975,5.11,4.551342,17609800
2009-01-07,5.02,5.045,4.9,4.995,4.448914,24216600
2009-01-08,4.925,5.095,4.835,5.07,4.515714,21592400
2009-01-09,5.06,5.075,4.805,4.885,4.350939,22384600
2009-01-12,4.905,4.975,4.745,4.795,4.270779,23921200
2009-01-13,4.755,4.89,4.62,4.685,4.172805,20036600
2009-01-14,4.615,4.63,4.415,4.52,4.025844,22121200
2009-01-15,4.53,4.725,4.44,4.64,4.132725,17748800
2009-01-16,4.745,4.775,4.555,4.73,4.212886,18028400
2009-01-20,4.73,4.76,4.425,4.445,3.959043,15951400
2009-01-21,4.285,4.525,4.25,4.525,4.030297,24018800
2009-01-22,4.49,4.665,4.39,4.56,4.061471,21330600
2009-01-23,4.44,4.61,4.425,4.54,4.043658,21011000
2009-01-26,4.505,4.64,4.395,4.5,4.008030000000001,26235600
2009-01-27,4.49,4.62,4.44,4.575,4.074832,24077200
2009-01-28,4.685,4.9,4.615,4.825,4.297499,38306000
2009-01-29,4.625,4.95,4.625,4.825,4.297499,37243800
2009-01-30,4.87,4.88,4.705,4.72,4.2039800000000005,33160800
2009-02-02,4.63,4.825,4.62,4.72,4.2039800000000005,19906800
2009-02-03,4.68,4.945,4.62,4.915,4.37766,27165200
2009-02-04,4.9,5.04,4.86,4.885,4.350939,28352800
2009-02-05,4.815,5.09,4.78,5.065,4.511261,36153800
2009-02-06,5.035,5.315,4.975,5.27,4.693849,24788200
2009-02-09,5.195,5.385,5.105,5.36,4.7740089999999995,20123600
2009-02-10,5.245,5.36,4.945,4.95,4.4088330000000004,36386200
2009-02-11,5.025,5.05,4.855,4.995,4.448914,22786000
2009-02-12,4.94,5.09,4.87,5.09,4.533529,23925600
2009-02-13,5.09,5.15,4.975,5.065,4.511261,17711200
2009-02-17,4.855,4.89,4.67,4.825,4.297499,32730800
2009-02-18,4.815,4.88,4.72,4.825,4.297499,20304600
2009-02-19,4.835,4.975,4.745,4.76,4.239606,21011400
2009-02-20,4.7,4.86,4.625,4.79,4.266326,25000600
2009-02-23,4.81,4.87,4.555,4.58,4.079283,27043000
2009-02-24,4.56,4.79,4.55,4.765,4.244059,31321600
2009-02-25,4.745,4.81,4.635,4.71,4.195072,20642600
2009-02-26,4.655,4.775,4.495,4.51,4.016937,24531600
2009-02-27,4.46,4.62,4.45,4.575,4.074832,27580000
2009-03-02,4.49,4.57,4.38,4.385,3.9056029999999997,18148000
2009-03-03,4.505,4.505,4.265,4.29,3.8209910000000002,22191600
2009-03-04,4.32,4.475,4.315,4.415,3.932324,20151800
2009-03-05,4.33,4.445,4.27,4.28,3.8120830000000003,22179800
2009-03-06,4.33,4.345,4.06,4.18,3.7230160000000003,27024200
2009-03-09,4.165,4.31,4.105,4.135,3.682936,19047000
2009-03-10,4.235,4.595,4.165,4.565,4.065925,31474200
2009-03-11,4.6,4.7,4.475,4.61,4.106005000000001,16394400
