Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,15.21,15.37,14.88,15.25,12.745683,1147000
2009-01-05,15.34,15.48,14.96,15.2,12.703894,1481300
2009-01-06,15.33,15.77,15.33,15.7,13.121785000000001,2579900
2009-01-07,15.39,15.99,15.34,15.43,12.896124,1855800
2009-01-08,15.56,15.6,15.21,15.56,13.004774000000001,1454700
2009-01-09,15.57,15.71,15.11,15.11,12.628672,1745900
2009-01-12,15.05,15.4,14.59,14.72,12.302717999999999,1663100
2009-01-13,14.6,14.84,14.39,14.67,12.260928999999999,1864600
2009-01-14,14.27,14.57,13.91,14.09,11.776175,1636800
2009-01-15,14.12,14.57,13.73,14.46,12.085411,2109000
2009-01-16,14.78,14.95,13.94,14.32,11.968405,2756700
2009-01-20,14.09,14.17,13.04,13.06,10.915319,2251400
2009-01-21,13.36,13.7,12.92,13.66,11.416789,1759300
2009-01-22,13.52,13.69,13.12,13.51,11.291422,1953800
2009-01-23,13.24,13.98,13.1,13.7,11.450217,2606500
2009-01-26,13.7,14.87,13.45,14.25,11.909898,3752500
2009-01-27,14.0,14.33,13.75,14.13,11.809608,3410400
2009-01-28,14.51,14.55,14.31,14.49,12.110485,2050100
2009-01-29,14.16,14.45,14.02,14.06,11.7511,1023300
2009-01-30,14.07,14.2,13.41,13.55,11.324850999999999,1800700
2009-02-02,13.37,13.64,13.25,13.5,11.283063,2173800
2009-02-03,13.75,14.1,13.63,13.97,11.675880000000001,1363400
2009-02-04,14.1,14.23,13.68,13.74,11.483649,1477700
2009-02-05,13.66,13.89,13.29,13.72,11.466935000000001,1951700
2009-02-06,13.71,14.19,13.62,14.08,11.767816,1356100
2009-02-09,14.02,14.1,13.78,13.9,11.617377000000001,1330200
2009-02-10,13.7,13.9,12.99,13.08,10.932033,1572000
2009-02-11,13.19,13.41,13.08,13.3,11.115905999999999,1540300
2009-02-12,13.11,13.34,12.81,13.31,11.124264,2080300
2009-02-13,13.27,13.4,12.85,12.85,10.739805,1676100
2009-02-17,12.38,12.59,12.29,12.3,10.280126,2217200
2009-02-18,12.36,12.36,11.83,11.97,10.004317,2193700
2009-02-19,12.03,12.18,11.63,11.67,9.753582000000002,1913300
2009-02-20,11.46,11.67,11.15,11.48,9.594783,2466700
2009-02-23,11.71,11.71,11.13,11.15,9.318972,1750500
2009-02-24,11.24,11.79,11.03,11.75,9.820444,1741300
2009-02-25,11.63,11.84,11.27,11.42,9.544637,1735600
2009-02-26,11.48,11.84,11.38,11.43,9.552995,1494500
2009-02-27,11.23,11.44,11.09,11.16,9.327332,3069000
2009-03-02,10.98,11.1,10.65,10.73,8.967945,2495400
2009-03-03,10.81,11.05,10.38,10.43,8.717212,2224900
2009-03-04,10.59,11.4,10.49,11.2,9.469714999999999,3614000
2009-03-05,10.99,11.03,10.63,10.74,9.080784,2433400
2009-03-06,10.74,11.11,10.38,10.64,8.996228,2025100
2009-03-09,10.44,10.92,10.44,10.54,8.911676,2343100
2009-03-10,10.62,11.44,10.62,11.43,9.664182,2258100
2009-03-11,11.64,11.68,11.32,11.59,9.799463000000001,1919100
2009-03-12,11.54,12.18,11.46,12.17,10.289860000000001,1322500
2009-03-13,12.25,12.7,12.19,12.59,10.644974000000001,1601700
2009-03-16,12.72,12.99,12.62,12.67,10.712616,1278700
2009-03-17,12.7,12.88,12.52,12.7,10.73798,1971200
2009-03-18,12.53,13.25,12.46,13.08,11.059274,2468900
2009-03-19,13.2,13.5,13.1,13.18,11.143825,1771000
2009-03-20,13.24,13.34,12.81,12.91,10.915536,1725200
2009-03-23,13.15,13.78,13.04,13.78,11.651132,1184600
2009-03-24,13.61,14.16,13.45,13.75,11.625766,1328600
2009-03-25,13.73,14.35,13.36,13.84,11.701861,1582800
2009-03-26,13.94,14.6,13.93,14.54,12.293721000000001,1272100
2009-03-27,14.18,14.5,14.01,14.17,11.980881,1199500
2009-03-30,13.72,13.98,13.38,13.66,11.549667999999999,1378600
2009-03-31,13.75,14.09,13.63,13.8,11.668042,1160700
2009-04-01,13.58,14.2,13.31,14.15,11.963971,1283600
2009-04-02,14.47,14.9,14.46,14.65,12.386722,1189900
2009-04-03,14.72,14.92,14.5,14.92,12.615014,957000
2009-04-06,14.92,14.97,14.4,14.57,12.319082,973600
2009-04-07,14.3,14.37,14.04,14.19,11.997788,1141200
2009-04-08,14.23,14.38,13.93,14.37,12.149982000000001,1768500
2009-04-09,14.82,15.09,14.65,15.08,12.750293,976700
2009-04-13,14.92,15.04,14.46,14.78,12.496639,1584600
2009-04-14,14.57,14.64,14.12,14.12,11.938604,1901600
2009-04-15,14.1,15.32,14.08,15.14,12.801022999999999,1939700
2009-04-16,15.32,15.57,14.97,15.44,13.054679,1237600
2009-04-17,15.49,15.83,15.35,15.73,13.299879999999998,1227500
2009-04-20,15.59,15.6,14.88,14.95,12.640379,951900
2009-04-21,14.67,15.6,14.67,15.46,13.071589,938600
2009-04-22,15.38,16.1,15.14,15.75,13.316784,1109000
2009-04-23,16.469998999999998,17.299999,15.79,17.18,14.525869,3016000
2009-04-24,17.23,18.27,17.200001,17.93,15.160001000000001,2747000
2009-04-27,17.690001000000002,17.74,17.35,17.59,14.872523000000001,2282500
2009-04-28,17.360001,17.780001000000002,17.120001000000002,17.559998999999998,14.847157000000001,1569000
2009-04-29,18.18,19.99,18.17,19.5,16.48745,4754200
2009-04-30,19.799999,19.950001,18.950001,19.059998999999998,16.115427,2705800
2009-05-01,19.190001000000002,19.379998999999998,18.950001,19.15,16.191523,2429300
2009-05-04,19.27,20.959999,19.15,20.92,17.688072000000002,2532900
2009-05-05,20.9,21.4,20.809998999999998,21.24,17.958641,2061300
2009-05-06,21.379998999999998,21.5,20.74,21.15,17.882534,2985800
2009-05-07,21.41,21.59,20.15,20.389999,17.23996,2180600
2009-05-08,20.77,21.129998999999998,20.34,20.959999,17.721892999999998,1536700
2009-05-11,19.870001000000002,20.120001000000002,19.129998999999998,19.4,16.402901,2195500
2009-05-12,19.48,19.67,18.969998999999998,19.32,16.335257000000002,1138000
2009-05-13,19.190001000000002,19.190001000000002,18.299999,18.459999,15.608114000000002,1543300
2009-05-14,18.549999,18.98,18.290001,18.809998999999998,15.904051,1170600
2009-05-15,18.74,19.09,18.559998999999998,18.73,15.836410999999998,1110600
2009-05-18,18.889999,19.469998999999998,18.700001,19.469998999999998,16.462086,965900
2009-05-19,19.42,19.68,19.290001,19.440001000000002,16.436722,852000
2009-05-20,19.57,19.98,19.26,19.34,16.352165,1177500
2009-05-21,19.07,19.48,18.5,19.299999,16.318348,2237900
2009-05-22,19.32,19.92,19.290001,19.65,16.614275,1350000
2009-05-26,19.459999,20.18,19.42,20.16,17.045488,2205400
2009-05-27,20.139999,20.290001,19.440001000000002,19.48,16.470539000000002,1892200
2009-05-28,19.66,20.35,19.440001000000002,20.120001000000002,17.011665,1810800
2009-05-29,19.1,20.01,19.1,20.01,16.918663000000002,2086800
2009-06-01,20.450001,20.940001000000002,20.389999,20.68,17.485147,1568200
2009-06-02,20.709999,20.91,20.52,20.73,17.527416,1131500
2009-06-03,20.51,20.629998999999998,19.860001,20.01,17.017166,1107900
2009-06-04,20.190001000000002,20.360001,19.860001,20.26,17.229774,1442100
2009-06-05,20.540001,20.709999,19.49,19.74,16.787548,2089700
2009-06-08,19.530001000000002,19.85,19.25,19.629998999999998,16.694001999999998,1645800
2009-06-09,19.620001000000002,19.780001000000002,19.389999,19.49,16.574939999999998,1386100
2009-06-10,19.65,19.780001000000002,18.98,19.190001000000002,16.319817999999998,1627700
2009-06-11,19.290001,19.43,18.98,19.18,16.311306,1785900
2009-06-12,19.09,19.219998999999998,18.799999,19.120001000000002,16.260282999999998,762800
2009-06-15,18.82,18.9,18.43,18.549999,15.775534,942400
2009-06-16,18.59,18.65,17.83,17.9,15.222754,1231100
2009-06-17,17.84,17.84,17.110001,17.17,14.601935999999998,2687100
2009-06-18,17.17,18.16,17.1,18.0,15.307797,1886400
2009-06-19,18.18,18.18,17.75,17.85,15.180235999999999,1708500
2009-06-22,17.700001,17.879998999999998,17.459999,17.6,14.967626999999998,1789000
2009-06-23,17.610001,17.75,17.23,17.459999,14.848557999999999,1449800
2009-06-24,17.6,17.92,17.450001,17.629998999999998,14.993138,1199300
2009-06-25,17.52,17.98,17.280001000000002,17.860001,15.188735999999999,1402800
2009-06-26,17.84,17.950001,17.59,17.809998999999998,15.146212,1321400
2009-06-29,17.84,18.52,17.65,18.379998999999998,15.630963000000001,1536200
2009-06-30,18.379998999999998,18.73,18.26,18.450001,15.690495,1686100
2009-07-01,18.59,19.299999,18.469998999999998,19.129998999999998,16.268782,1987900
2009-07-02,18.969998999999998,19.16,18.65,18.780001000000002,15.971135999999998,1590900
2009-07-06,18.59,19.08,18.540001,19.040001,16.192251000000002,1177800
2009-07-07,18.889999,19.15,18.559998999999998,18.610001,15.826563,1565200
2009-07-08,18.690001000000002,18.9,18.41,18.84,16.02216,2873400
2009-07-09,19.030001000000002,19.09,18.610001,18.879998999999998,16.056176999999998,1886200
2009-07-10,18.709999,19.190001000000002,18.66,19.120001000000002,16.260282999999998,1316100
2009-07-13,19.02,19.32,18.68,19.27,16.387848,1521000
2009-07-14,19.27,19.389999,19.059998999999998,19.309998999999998,16.421864000000003,1177600
