Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,39.52,41.439999,38.240002000000004,41.099998,36.136429,3261800
2009-01-05,40.990002000000004,42.759997999999996,40.509997999999996,41.529999,36.514488,4812000
2009-01-06,42.720001,44.75,41.650002,44.27,38.923573,4518200
2009-01-07,42.990002000000004,46.09,41.400002,42.220001,37.121143,7478400
2009-01-08,41.830002,43.459998999999996,41.450001,43.220001,38.000384999999994,5657700
2009-01-09,43.220001,44.0,41.119999,41.560001,36.540878,3344200
2009-01-12,41.5,41.540001000000004,38.380001,39.0,34.290028,3951200
2009-01-13,38.5,39.5,37.330002,38.860001000000004,34.166939,5781700
2009-01-14,37.290001000000004,37.849998,36.630001,37.09,32.610695,4550400
2009-01-15,37.009997999999996,39.349998,35.450001,38.0,33.410796999999995,5707100
2009-01-16,39.02,39.169998,34.880001,36.349998,31.960064000000003,8907700
2009-01-20,19.889999,20.190001000000002,14.43,14.89,13.091758,76692600
2009-01-21,15.87,18.0,15.25,17.07,15.008484,47151500
2009-01-22,17.059998999999998,21.950001,16.84,20.969998999999998,18.437487,33548400
2009-01-23,19.959999,20.17,17.6,19.4,17.057089,22242700
2009-01-26,19.719998999999998,21.49,19.08,20.48,18.006664,13930800
2009-01-27,20.940001000000002,21.5,18.73,19.620001000000002,17.250523,14382100
2009-01-28,22.790001,26.200001,22.65,25.77,22.657801,33937400
2009-01-29,24.51,25.799999,23.700001,24.07,21.163103,12577600
2009-01-30,24.27,24.93,22.82,23.27,20.459723,14124200
2009-02-02,22.889999,23.940001000000002,22.34,23.51,20.670734,10523600
2009-02-03,23.870001000000002,24.51,22.610001,24.18,21.259813,11233300
2009-02-04,24.66,25.25,23.030001000000002,24.129998999999998,21.215857,7794400
2009-02-05,23.82,27.950001,23.25,27.540001,24.214039,23098200
2009-02-06,28.4,32.48,27.530001000000002,30.49,26.807774,23864900
2009-02-09,30.92,31.290001,29.389999,30.530001000000002,26.842942999999998,6944300
2009-02-10,29.860001,30.530001000000002,26.27,26.610001,23.396351,13513600
2009-02-11,27.07,29.049999,27.07,28.48,25.040514,9768500
2009-02-12,27.33,27.889999,25.709999,27.6,24.266787,9751500
2009-02-13,27.299999,27.85,26.610001,27.0,23.73925,6707000
2009-02-17,25.540001,25.690001000000002,23.190001000000002,23.209999,20.406961,11485800
2009-02-18,24.0,24.120001000000002,22.16,23.68,20.8202,9139600
2009-02-19,24.01,24.76,22.379998999999998,22.459999,19.74754,6428200
2009-02-20,21.639999,23.059998999999998,20.799999,22.719998999999998,19.976141000000002,12558800
2009-02-23,24.08,24.32,22.129998999999998,22.299999,19.606863,8869700
2009-02-24,22.450001,27.17,21.540001,26.49,23.290844,13819100
2009-02-25,26.34,27.16,24.860001,25.77,22.657801,12341200
2009-02-26,27.25,29.6,26.52,27.17,23.888721,14861600
2009-02-27,25.280001000000002,27.0,24.0,25.27,22.218184,9954700
2009-03-02,22.74,24.41,21.549999,21.85,19.211214000000002,12965800
2009-03-03,22.93,22.98,20.639999,21.809998999999998,19.176037,13329000
2009-03-04,22.49,23.290001,21.030001000000002,22.290001,19.59807,11975300
2009-03-05,21.309998999999998,21.450001,18.41,19.309998999999998,16.977966000000002,14783400
2009-03-06,19.43,20.43,17.34,17.98,15.808579,12681400
2009-03-09,17.5,18.93,16.959999,17.610001,15.483264000000002,11114900
2009-03-10,19.139999,20.84,18.43,20.809998999999998,18.296812,12849500
2009-03-11,20.91,22.700001,20.110001,21.959999,19.307920000000003,11547900
2009-03-12,21.92,23.93,20.700001,23.85,20.969670999999998,13158900
2009-03-13,24.09,24.09,21.639999,22.66,19.923385999999997,12513100
2009-03-16,23.200001,25.42,23.09,23.120001000000002,20.327829,11601200
2009-03-17,22.75,25.68,22.540001,25.59,22.499537,11020600
2009-03-18,25.17,29.190001000000002,24.82,29.049999,25.541677,17068500
2009-03-19,29.4,29.549999,26.77,27.049999,23.783216,12784600
2009-03-20,27.16,27.43,24.66,24.690001000000002,21.708223,12307800
2009-03-23,26.49,30.209999,26.07,29.969998999999998,26.350571000000002,14150900
2009-03-24,29.26,32.080002,28.75,29.16,25.638391,15736500
2009-03-25,30.0,31.530001000000002,27.59,29.83,26.227476,12925800
2009-03-26,30.41,30.65,28.940001000000002,30.120001000000002,26.482453999999997,11275600
2009-03-27,29.940001000000002,31.65,29.51,30.610001,26.91328,11993600
2009-03-30,29.290001,30.049999,27.91,27.98,24.608936,13299900
2009-03-31,29.18,31.709999,28.9,30.780001000000002,27.071589000000003,14136800
2009-04-01,30.200001,31.969998999999998,29.42,30.530001000000002,26.851709000000003,13342200
2009-04-02,32.75,32.799999,30.110001,31.66,27.845562,18240000
