Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.55,5.14,4.51,5.08,3.6082160000000005,9355100
2009-01-05,5.11,5.39,4.96,5.14,3.650832,8915700
2009-01-06,5.31,5.9,5.29,5.78,4.105412,13248300
2009-01-07,5.39,5.6,5.33,5.37,3.814198,10925400
2009-01-08,5.16,5.6,5.11,5.6,3.97756,5103500
2009-01-09,5.65,5.76,5.3,5.64,4.005971,8476800
2009-01-12,5.55,5.55,4.59,4.76,3.380927,21754900
2009-01-13,4.61,4.81,4.39,4.58,3.2530759999999996,10439100
2009-01-14,4.61,4.61,4.22,4.29,3.047096,12343400
2009-01-15,4.32,4.44,4.01,4.33,3.0755060000000003,11680200
2009-01-16,4.48,4.5,4.18,4.39,3.1181240000000003,10174400
2009-01-20,4.48,4.48,3.85,3.88,2.755881,10049200
2009-01-21,4.0,4.25,3.99,4.25,3.018684,6378600
2009-01-22,3.89,3.94,3.13,3.23,2.2942,30637400
2009-01-23,3.13,3.26,2.98,3.11,2.208967,34796600
2009-01-26,3.14,3.49,3.12,3.42,2.429153,27431100
2009-01-27,3.5,3.7,3.37,3.62,2.571209,22355300
2009-01-28,3.85,4.12,3.73,3.95,2.805601,12289000
2009-01-29,3.9,4.47,3.82,4.04,2.869526,20359600
2009-01-30,4.25,4.32,3.77,3.79,2.6919560000000002,10775800
2009-02-02,3.65,4.02,3.57,3.97,2.8198060000000003,10416600
2009-02-03,3.84,3.96,3.65,3.83,2.720367,9607100
2009-02-04,3.9,4.47,3.88,4.28,3.063993,17445200
2009-02-05,4.24,4.55,4.09,4.39,3.1427400000000003,16163700
2009-02-06,4.45,4.68,4.22,4.51,3.228647,16722700
2009-02-09,4.5,4.55,4.3,4.36,3.121264,8861100
2009-02-10,4.58,4.75,4.05,4.1,2.935133,19198500
2009-02-11,4.3,4.33,4.06,4.2,3.0067209999999998,7614600
2009-02-12,4.1,4.55,4.04,4.48,3.20717,10387100
2009-02-13,4.41,4.48,4.29,4.37,3.128422,6433500
2009-02-17,4.28,4.62,4.21,4.29,3.071151,12870600
2009-02-18,4.46,4.68,4.26,4.45,3.185694,10620500
2009-02-19,4.55,4.62,4.13,4.26,3.049675,13103800
2009-02-20,4.14,4.24,3.7,4.19,2.999563,18865300
2009-02-23,4.22,4.22,3.91,4.01,2.870703,9720700
2009-02-24,4.05,4.05,3.81,3.96,2.834909,19504800
2009-02-25,4.1,4.39,4.04,4.31,3.085469,12892400
2009-02-26,4.26,4.38,4.1,4.1,2.935133,7637400
2009-02-27,4.11,4.34,4.0,4.3,3.0783099999999997,15044400
2009-03-02,4.1,4.32,3.63,3.68,2.634461,16256000
2009-03-03,3.81,4.05,3.64,3.76,2.691732,10057100
2009-03-04,3.8,4.0,3.67,3.76,2.691732,12727200
2009-03-05,3.67,3.84,3.38,3.42,2.448331,11936100
2009-03-06,3.51,3.65,3.04,3.11,2.2264060000000003,14962800
2009-03-09,3.15,3.35,3.09,3.14,2.2478830000000003,8072800
2009-03-10,3.25,3.74,3.25,3.61,2.584349,10463400
2009-03-11,3.67,3.78,3.43,3.72,2.663096,11094000
2009-03-12,3.79,3.96,3.7,3.88,2.777638,7195100
2009-03-13,3.89,4.3,3.85,4.26,3.049675,14125600
2009-03-16,4.27,4.5,4.21,4.3,3.0783099999999997,12288000
2009-03-17,4.21,4.51,4.17,4.46,3.1928520000000002,5783400
2009-03-18,4.5,4.81,4.4,4.7,3.364664,9077000
2009-03-19,4.66,4.82,4.58,4.65,3.3288699999999998,6882200
2009-03-20,4.76,4.78,4.39,4.6,3.293076,8326800
2009-03-23,4.79,5.17,4.73,5.16,3.693973,12508400
2009-03-24,5.0,5.79,4.87,5.78,4.137822,28225000
2009-03-25,5.85,6.12,5.67,5.96,4.266682,29216900
2009-03-26,6.24,6.56,5.73,6.56,4.696214,23248300
2009-03-27,6.18,6.54,6.05,6.09,4.359746,12375500
2009-03-30,5.82,6.01,5.58,5.91,4.230886,13425300
2009-03-31,6.11,6.2,5.92,6.01,4.302475,8937000
2009-04-01,5.56,6.02,5.51,5.98,4.280998,13729100
2009-04-02,6.1,6.44,6.05,6.2,4.438494,12028600
2009-04-03,6.09,6.8,5.97,6.73,4.817914,14186200
2009-04-06,6.76,6.8,6.31,6.4,4.581671,13135600
2009-04-07,6.2,6.35,6.1,6.15,4.4027,6666400
2009-04-08,5.96,6.39,5.94,6.35,4.545877,8796500
2009-04-09,6.6,6.79,6.41,6.65,4.760643,10464000
2009-04-13,6.3,6.49,5.87,6.34,4.538717,16267100
2009-04-14,6.18,6.3,5.68,6.05,4.331111,14846000
2009-04-15,5.81,6.03,5.61,5.85,4.187933,13835800
2009-04-16,5.97,6.49,5.91,6.35,4.545877,14255300
2009-04-17,6.3,6.98,6.15,6.83,4.889501999999999,14858600
2009-04-20,6.3,6.72,6.3,6.46,4.624624,9185100
2009-04-21,6.37,6.75,6.31,6.67,4.774961,11757200
2009-04-22,6.57,7.35,6.57,7.15,5.118586,23113500
2009-04-23,7.26,7.26,6.87,7.02,5.025519999999999,18314500
2009-04-24,7.2,7.3,6.89,7.28,5.211652,14603500
2009-04-27,7.12,7.5,6.94,7.02,5.025519999999999,13049400
2009-04-28,6.95,7.15,6.93,7.02,5.025519999999999,8095400
2009-04-29,7.05,7.57,7.04,7.44,5.326192,10543800
2009-04-30,7.8,8.37,7.7,8.16,5.841631,19682200
2009-05-01,8.16,8.63,8.06,8.45,6.0492360000000005,13016600
2009-05-04,8.75,9.11,8.72,9.09,6.507404,12887300
2009-05-05,9.07,9.07,8.39,8.46,6.0563970000000005,16786200
2009-05-06,8.46,8.64,8.11,8.41,6.0206029999999995,14482100
2009-05-07,8.5,8.58,7.55,7.7,5.512322,15354200
2009-05-08,7.99,7.99,7.17,7.79,5.576754,16932500
2009-05-11,7.68,7.84,7.47,7.57,5.419258999999999,11357900
2009-05-12,7.65,7.89,7.0,7.34,5.2546040000000005,15147200
2009-05-13,7.25,7.28,6.78,6.98,4.996885,19403500
2009-05-14,7.0,7.35,6.83,7.29,5.2188099999999995,13707100
2009-05-15,7.17,7.59,7.16,7.25,5.190174,8781100
2009-05-18,7.17,7.65,7.13,7.62,5.455051999999999,8637300
2009-05-19,7.67,8.32,7.6,8.11,5.805836,11984400
2009-05-20,8.3,8.41,7.82,7.91,5.662659,15830400
2009-05-21,7.82,8.03,7.6,8.01,5.734247,10178600
2009-05-22,8.16,8.53,7.98,8.44,6.042079,13414800
2009-05-26,8.22,8.8,8.2,8.78,6.285481,12889300
2009-05-27,8.8,8.96,8.57,8.58,6.142303,12595100
2009-05-28,8.77,8.85,8.29,8.68,6.2138919999999995,12409300
2009-05-29,8.64,8.93,8.56,8.71,6.235367,23409900
2009-06-01,9.0,9.49,8.88,9.46,6.772284,13236200
2009-06-02,9.3,9.3,8.6,8.78,6.285481,18511900
2009-06-03,8.59,8.72,8.31,8.46,6.0563970000000005,11261200
2009-06-04,8.48,8.98,8.46,8.93,6.392864,9990400
2009-06-05,8.84,9.0,8.52,8.81,6.306956,7685900
2009-06-08,8.77,9.02,8.51,8.86,6.342752,10070900
2009-06-09,9.06,9.59,8.99,9.46,6.772284,12761300
2009-06-10,9.6,9.66,8.99,9.33,6.6792169999999995,15217200
2009-06-11,9.36,9.78,9.35,9.65,6.908301,9746000
2009-06-12,9.52,9.64,9.26,9.54,6.8295520000000005,7349700
2009-06-15,9.49,9.49,9.18,9.34,6.6863779999999995,8384800
2009-06-16,9.25,9.51,9.11,9.12,6.528881,11454800
2009-06-17,9.4,9.58,9.13,9.39,6.722169999999999,10065400
2009-06-18,9.38,9.52,9.02,9.26,6.629107,10791000
2009-06-19,9.38,9.75,9.34,9.69,6.9369380000000005,12308800
2009-06-22,9.63,9.83,9.4,9.42,6.7436490000000004,9948500
2009-06-23,9.28,9.65,9.09,9.6,6.872507000000001,17378200
2009-06-24,9.7,10.07,9.56,9.87,7.065795,16099200
2009-06-25,9.95,9.95,9.43,9.5,6.800917,24517500
2009-06-26,9.64,10.28,9.48,10.27,7.35215,22205900
2009-06-29,10.13,10.41,10.04,10.29,7.366467,11389100
2009-06-30,10.34,10.63,10.27,10.46,7.488167999999999,17993800
2009-07-01,10.37,10.85,10.37,10.6,7.588394,10796700
2009-07-02,10.5,10.5,10.22,10.28,7.359310000000001,6634200
2009-07-06,10.31,10.6,9.87,10.05,7.194655,16179300
2009-07-07,10.03,10.17,9.31,9.5,6.800917,24742200
2009-07-08,9.5,9.61,9.25,9.5,6.800917,11077400
2009-07-09,9.52,9.65,9.27,9.53,6.822396,9163600
2009-07-10,9.7,10.05,9.46,10.0,7.158863,18845400
2009-07-13,10.01,10.4,9.66,10.37,7.423738,11206800
2009-07-14,10.23,10.66,10.19,10.61,7.595553,11796900
2009-07-15,10.83,11.05,10.72,10.87,7.781681,13337200
2009-07-16,10.87,11.2,10.8,10.92,7.817475999999999,12018600
2009-07-17,10.92,11.21,10.82,11.15,7.982131,10185700
2009-07-20,11.24,11.34,10.87,11.04,7.903382000000001,11840700
2009-07-21,11.04,11.23,10.72,11.2,8.017924,14016800
2009-07-22,11.67,12.25,11.31,11.85,8.483253,31871900
2009-07-23,11.88,12.15,11.59,11.66,8.347232,18534900
2009-07-24,11.43,11.58,11.28,11.53,8.254166,14599900
2009-07-27,11.63,12.25,11.56,12.22,8.748127,13372900
2009-07-28,12.23,12.76,12.22,12.61,9.027322,17526100
2009-07-29,12.34,12.45,11.96,12.11,8.669378,14061100
2009-07-30,12.38,12.42,12.16,12.21,8.740969,13182000
2009-07-31,12.33,12.34,12.0,12.04,8.619267,8552800
2009-08-03,12.16,12.41,12.15,12.33,8.826875999999999,9839600
2009-08-04,12.15,12.38,12.15,12.26,8.776765,11930300
2009-08-05,12.21,12.3,11.74,11.97,8.569157,14173100
2009-08-06,11.97,12.14,11.69,11.84,8.476094,10945700
2009-08-07,12.2,12.48,11.9,12.36,8.848351,10794600
2009-08-10,12.24,12.37,12.0,12.08,8.647905,6240200
2009-08-11,12.07,12.22,11.81,12.14,8.690859,7038900
2009-08-12,12.04,12.63,12.0,12.5,8.948578,10574200
2009-08-13,12.64,12.7,12.29,12.53,8.970053,9109800
2009-08-14,12.45,12.48,12.0,12.2,8.733811,7853200
2009-08-17,12.0,12.0,11.56,11.78,8.433138,9223500
2009-08-18,11.8,12.18,11.77,12.14,8.690859,8312700
2009-08-19,11.77,12.28,11.72,12.22,8.748127,8904200
2009-08-20,12.25,12.35,12.07,12.3,8.805401,4968200
2009-08-21,12.48,12.66,12.29,12.63,9.041642,5560400
2009-08-24,12.74,12.78,12.21,12.28,8.791082000000001,6910200
2009-08-25,12.28,12.52,12.21,12.34,8.834035,5688700
2009-08-26,12.37,12.37,11.95,12.13,8.683699,9743600
2009-08-27,12.31,13.64,12.27,13.59,9.728894,26277800
2009-08-28,13.92,14.2,13.77,14.02,10.036723,13801700
2009-08-31,13.65,13.93,13.47,13.85,9.915024,6228700
2009-09-01,13.74,14.3,13.28,13.4,9.592875,11448900
2009-09-02,13.28,13.5,13.09,13.12,9.392427,7493300
2009-09-03,13.23,13.38,13.13,13.24,9.478333000000001,11006800
2009-09-04,13.2,13.91,13.19,13.68,9.793323,11377500
2009-09-08,13.99,14.84,13.85,14.77,10.573638,16346000
2009-09-09,14.8,15.06,14.6,14.93,10.688180000000001,12280200
2009-09-10,14.94,15.23,14.75,14.95,10.702498,12114800
2009-09-11,14.97,15.05,14.72,14.87,10.645227,10658100
2009-09-14,14.7,15.1,14.63,15.08,10.795562,8919400
2009-09-15,15.09,15.64,15.07,15.37,11.003171,10323900
2009-09-16,15.36,15.55,15.27,15.37,11.003171,7085000
2009-09-17,15.4,15.46,14.71,14.99,10.731133,10984900
2009-09-18,14.99,15.34,14.83,15.26,10.924419,9265500
2009-09-21,15.36,15.48,15.0,15.45,11.060441,8263600
2009-09-22,15.65,15.8,15.41,15.68,11.225094,8712300
2009-09-23,16.129998999999998,16.16,15.44,15.46,11.067601,20374200
2009-09-24,15.5,15.65,15.04,15.18,10.867152,10464000
2009-09-25,15.32,15.32,14.72,14.9,10.666702,13589400
2009-09-28,15.07,15.7,15.03,15.5,11.096236,7066400
2009-09-29,15.53,15.61,15.1,15.16,10.852833,8704100
2009-09-30,15.28,15.64,15.0,15.21,10.888629,8738300
2009-10-01,15.25,15.32,14.48,14.51,10.387508,18577300
2009-10-02,14.27,14.68,14.17,14.4,10.308763,13798200
2009-10-05,14.49,15.01,14.34,14.97,10.716816,9380700
2009-10-06,14.98,15.31,14.83,15.08,10.795562,15035000
2009-10-07,15.09,15.29,14.56,14.66,10.494889,11701700
2009-10-08,14.98,15.04,14.64,14.82,10.609430999999999,12048100
2009-10-09,14.78,15.51,14.75,15.46,11.067601,10353900
2009-10-12,16.389999,16.4,15.65,15.84,11.339635000000001,13361900
2009-10-13,15.93,16.040001,15.53,15.64,11.196458999999999,8232900
2009-10-14,16.01,16.25,15.94,16.110001,11.532926,13660200
2009-10-15,15.89,15.99,15.27,15.54,11.124869,10946800
2009-10-16,15.52,15.52,14.92,15.27,10.931581,11589300
2009-10-19,15.4,15.65,15.13,15.55,11.13203,9495500
2009-10-20,15.6,15.91,15.46,15.55,11.13203,13341500
2009-10-21,15.2,15.48,14.21,15.19,10.874310000000001,26622700
2009-10-22,15.1,15.98,15.07,15.92,11.396907,18320400
2009-10-23,16.120001000000002,16.120001000000002,15.66,15.73,11.260889,14369800
2009-10-26,15.97,16.5,15.74,15.82,11.325317,10868900
2009-10-27,15.83,15.98,15.31,15.32,10.967377,8128600
2009-10-28,15.26,15.31,14.34,14.44,10.337396,14264300
2009-10-29,14.77,14.84,14.34,14.58,10.437619,13944600
2009-10-30,14.51,14.67,13.78,13.95,9.98661,14099700
2009-11-02,14.0,14.36,13.9,14.16,10.136948,9465500
2009-11-03,14.03,14.35,13.81,14.34,10.265808,12391400
2009-11-04,14.3,15.14,14.27,14.72,10.537844999999999,16225400
2009-11-05,14.96,15.51,14.96,15.37,11.003171,10418500
2009-11-06,15.24,15.52,15.12,15.31,10.960216,6496900
2009-11-09,15.45,15.84,15.4,15.74,11.268048,6013700
2009-11-10,15.63,16.0,15.61,15.92,11.396907,7884200
2009-11-11,15.95,16.309998999999998,15.93,16.299999,11.668944,9332600
2009-11-12,16.32,17.030001000000002,16.299999,16.799999,12.026886,20111800
2009-11-13,16.870001000000002,16.9,16.549999,16.719998999999998,11.969617,8340100
2009-11-16,16.75,17.059998999999998,16.73,17.01,12.177223,9744600
2009-11-17,16.85,17.23,16.620001000000002,17.18,12.298925,12775000
2009-11-18,16.52,16.610001,16.209999,16.469998999999998,11.790643,13470500
2009-11-19,16.17,16.6,15.93,16.049999,11.489972,9454100
2009-11-20,15.82,16.0,15.51,15.59,11.160662,10166600
2009-11-23,15.86,16.23,15.8,15.92,11.396907,9164800
2009-11-24,16.030001000000002,16.030001000000002,15.61,15.67,11.217936,6249900
2009-11-25,15.76,15.98,15.52,15.89,11.375433000000001,8269600
2009-11-27,15.52,15.65,15.32,15.54,11.124869,4101600
2009-11-30,15.5,15.54,15.0,15.13,10.831358,8216800
2009-12-01,15.41,15.91,15.13,15.74,11.268048,8698000
2009-12-02,15.77,16.549999,15.74,16.48,11.797805,15599800
2009-12-03,16.5,16.700001,16.16,16.35,11.704736,9672300
2009-12-04,16.889999,17.120001000000002,16.16,16.690001000000002,11.948139999999999,12827300
2009-12-07,16.6,16.98,16.59,16.620001000000002,11.898026,6184200
2009-12-08,16.450001,16.719998999999998,16.35,16.389999,11.733374000000001,5646900
2009-12-09,16.34,16.75,16.110001,16.709999,11.962455,6300900
2009-12-10,16.74,16.83,16.48,16.51,11.819279,8940000
2009-12-11,16.58,16.68,16.200001,16.43,11.76201,5672700
2009-12-14,16.41,16.690001000000002,16.309998999999998,16.57,11.862233,4614900
2009-12-15,16.5,16.6,16.27,16.4,11.740532,4423200
2009-12-16,16.549999,17.370001000000002,16.549999,17.26,12.356194,13206300
2009-12-17,17.15,17.43,16.93,17.27,12.363357,9060200
2009-12-18,17.360001,17.459999,17.030001000000002,17.459999,12.499369999999999,10122700
2009-12-21,17.83,17.879998999999998,17.530001000000002,17.68,12.656865,10066500
2009-12-22,17.74,17.860001,17.610001,17.83,12.764251,7103800
2009-12-23,18.0,18.049999,17.889999,17.950001,12.850157000000001,5651400
2009-12-24,18.0,18.110001,17.93,18.07,12.936062,1995200
2009-12-28,18.18,18.35,17.77,17.969998999999998,12.864474000000001,4939700
2009-12-29,17.98,17.99,17.459999,17.809998999999998,12.749932000000001,7119700
2009-12-30,17.84,18.459999,17.77,18.440001000000002,13.200942999999999,9471900
2009-12-31,18.43,18.59,18.190001000000002,18.190001000000002,13.021968,6022500
2010-01-04,18.57,18.969998999999998,18.4,18.889999,13.523086,11116900
2010-01-05,18.860001,19.040001,18.43,18.52,13.258213,14536200
2010-01-06,18.43,18.639999,18.219998999999998,18.389999,13.165148,7171200
2010-01-07,18.4,18.41,17.940001000000002,18.040001,12.914587,8556300
2010-01-08,17.58,18.08,17.48,17.889999,12.807205999999999,11329000
2010-01-11,18.26,18.65,18.219998999999998,18.35,13.136512,11497500
2010-01-12,18.27,18.440001000000002,17.57,17.719998999999998,12.685503,11522800
2010-01-13,17.950001,18.299999,17.59,18.190001000000002,13.021968,8800200
2010-01-14,18.16,18.49,18.01,18.34,13.129351999999999,6398700
2010-01-15,18.309998999999998,18.6,17.530001000000002,17.77,12.721297,13716200
2010-01-19,17.879998999999998,18.27,17.77,18.16,13.000494,7802900
2010-01-20,18.15,18.18,17.459999,17.76,12.714137,16283900
2010-01-21,19.84,20.299999,19.34,19.49,13.952620999999999,35144100
2010-01-22,19.370001000000002,19.620001000000002,18.27,18.4,13.172304,20111600
2010-01-25,18.790001,19.059998999999998,18.59,18.92,13.544568,15582000
2010-01-26,18.889999,19.620001000000002,18.76,19.309998999999998,13.82376,16018200
2010-01-27,19.219998999999998,19.43,18.68,19.08,13.659104000000001,15416200
2010-01-28,19.190001000000002,19.280001000000002,18.139999,18.360001,13.143670000000002,14128500
2010-01-29,18.35,18.51,16.469998999999998,16.709999,11.962455,28653200
2010-02-01,17.23,17.98,17.059998999999998,17.9,12.81436,18205800
2010-02-02,17.879998999999998,18.6,17.780001000000002,18.58,13.301160999999999,17569900
2010-02-03,18.370001000000002,18.870001000000002,18.26,18.84,13.487298000000001,16905200
2010-02-04,18.17,18.48,17.780001000000002,18.02,12.900269999999999,21505800
2010-02-05,18.1,18.190001000000002,17.469998999999998,18.02,12.900269999999999,23836800
2010-02-08,18.049999,18.74,17.84,18.18,13.014809,14937100
2010-02-09,18.559998999999998,18.74,18.219998999999998,18.33,13.122192000000002,12415000
2010-02-10,18.360001,18.66,18.17,18.48,13.229576000000002,9770100
2010-02-11,18.49,18.83,18.190001000000002,18.76,13.430024,8142000
2010-02-12,18.549999,18.870001000000002,18.15,18.700001,13.387072,11482500
2010-02-16,18.799999,19.84,18.799999,19.73,14.124432999999998,19036400
2010-02-17,19.940001000000002,20.049999,19.549999,20.0,14.317726,13328300
2010-02-18,19.879998999999998,20.809998999999998,19.719998999999998,20.73,14.840320000000002,17442500
2010-02-19,20.549999,20.940001000000002,20.4,20.51,14.682825,15071300
2010-02-22,20.530001000000002,20.870001000000002,20.379998999999998,20.73,14.840320000000002,10665100
2010-02-23,20.639999,20.719998999999998,20.030001000000002,20.33,14.553967000000002,11630800
2010-02-24,20.379998999999998,20.73,19.4,19.5,13.959782,27780900
2010-02-25,19.16,19.540001,18.610001,19.49,13.952620999999999,28118900
2010-02-26,19.67,20.0,19.4,19.91,14.253295999999999,9090300
2010-03-01,20.1,21.450001,20.0,21.35,15.284166,20620200
2010-03-02,21.5,21.58,20.91,21.01,15.040768,13412000
2010-03-03,20.75,20.84,19.610001,19.629998999999998,14.052847,25207200
2010-03-04,19.809998999999998,19.82,19.139999,19.73,14.124432999999998,15528100
2010-03-05,19.84,20.1,19.51,19.92,14.260456,10340300
2010-03-08,20.190001000000002,20.24,19.639999,19.889999,14.238975,9933400
