Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,10.205,10.825,10.205,10.775,9.635191,7242600
2009-01-05,10.73,10.85,10.495,10.695,9.56365,10823600
2009-01-06,10.81,10.975,10.525,10.855,9.706726,11349400
2009-01-07,10.745,11.005,10.675,10.855,9.706726,11755200
2009-01-08,10.74,10.84,10.37,10.745,9.608362,17132800
2009-01-09,10.74,10.875,10.305,10.4,9.299855,14032400
2009-01-12,10.355,10.46,10.235,10.32,9.22832,9947400
2009-01-13,10.355,10.45,10.04,10.165,9.08972,13629600
2009-01-14,10.03,10.065,9.765,9.79,8.754389,11039800
2009-01-15,9.795,10.295,9.58,10.1,9.031594,13863600
2009-01-16,10.23,10.38,9.955,10.325,9.232792,10817600
2009-01-20,10.275,10.275,9.745,9.765,8.732034,9986800
2009-01-21,9.98,10.02,9.675,9.98,8.924288,10970400
2009-01-22,9.71,10.32,9.68,10.105,9.036064999999999,12775600
2009-01-23,9.765,10.095,9.765,9.96,8.906403,9443400
2009-01-26,9.945,10.32,9.935,10.115,9.045003,6893600
2009-01-27,10.23,10.315,10.03,10.13,9.058418,8322000
2009-01-28,10.31,10.53,10.21,10.435,9.331157000000001,9477600
2009-01-29,10.41,10.45,9.985,10.025,8.964526,7352400
2009-01-30,10.05,10.05,9.625,9.71,8.682849000000001,9109800
2009-02-02,9.615,9.89,9.595,9.735,8.705203,9197000
2009-02-03,9.83,9.995,9.625,9.905,8.857223,11557600
2009-02-04,9.665,10.1,9.665,9.96,8.906403,12253800
2009-02-05,10.25,11.09,10.22,11.03,9.863217,22264800
2009-02-06,11.06,11.705,10.905,11.41,10.203014999999999,17486400
2009-02-09,11.44,11.47,11.05,11.25,10.059942999999999,9646600
2009-02-10,11.125,11.275,10.72,10.865,9.7634,10946000
2009-02-11,10.86,11.04,10.705,10.915,9.808330999999999,9741800
2009-02-12,10.825,10.985,10.58,10.97,9.857757000000001,10705800
2009-02-13,10.915,11.09,10.735,10.82,9.722964,7784200
2009-02-17,10.545,10.875,10.35,10.715,9.628608,11057800
2009-02-18,10.86,10.86,10.465,10.685,9.601652,9728800
2009-02-19,10.755,11.02,10.64,10.675,9.592668,8221400
2009-02-20,10.5,10.79,10.35,10.65,9.570200999999999,9051600
2009-02-23,10.825,10.825,10.35,10.395,9.341055,9335000
2009-02-24,10.46,10.835,10.365,10.77,9.678033000000001,11138400
