Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.25,14.27,13.11,13.32,9.506497,2370400
2009-01-05,13.31,13.31,12.46,12.51,8.928401,3796300
2009-01-06,12.93,13.74,12.62,13.57,9.684925,3694200
2009-01-07,13.35,13.78,13.12,13.46,9.606417,3628500
2009-01-08,12.44,13.2,12.44,12.98,9.263842,3667800
2009-01-09,12.98,13.08,12.13,12.35,8.814210000000001,2842100
2009-01-12,12.03,12.09,11.1,11.28,8.050548,3376100
2009-01-13,11.25,11.94,11.08,11.8,8.421672000000001,4449300
2009-01-14,11.46,11.65,10.96,11.16,7.964905,3268100
2009-01-15,10.91,12.26,10.48,11.8,8.421672000000001,5396800
2009-01-16,12.26,12.52,11.28,12.42,8.864168,5851000
2009-01-20,12.15,12.36,11.22,11.23,8.014867,6235300
2009-01-21,11.5,12.6,11.02,12.4,8.849893,4473600
2009-01-22,12.22,12.22,11.06,11.54,8.236111,4882500
2009-01-23,11.24,12.07,10.91,11.85,8.457362,3945200
2009-01-26,11.89,12.0,11.36,11.51,8.2147,3124400
2009-01-27,11.74,11.91,11.49,11.88,8.478771,2051700
2009-01-28,12.18,13.14,12.11,13.02,9.29239,4247000
2009-01-29,12.48,12.93,12.16,12.22,8.72143,4446000
2009-01-30,12.32,12.62,11.52,11.73,8.371716000000001,4305100
2009-02-02,11.25,11.82,11.04,11.78,8.407399,4047100
2009-02-03,11.65,12.0,11.38,11.62,8.293207,2692400
2009-02-04,11.66,11.99,11.15,11.24,8.022001,3575900
2009-02-05,11.15,11.15,9.96,10.57,7.5438220000000005,4918800
2009-02-06,10.5,11.26,10.37,11.16,7.964905,4921000
2009-02-09,11.23,11.23,10.69,11.1,7.922084,3175800
2009-02-10,10.99,10.99,9.76,9.87,7.044230000000001,4923400
2009-02-11,9.91,10.16,9.54,10.06,7.179834,5200400
2009-02-12,10.59,10.59,9.14,9.77,6.9728580000000004,4642400
2009-02-13,9.13,9.86,8.99,9.4,6.708789,4830200
2009-02-17,8.89,9.1,8.64,8.86,6.323393,5644800
