Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.450001,18.6,17.690001000000002,18.43,15.581703,2895000
2009-01-05,18.219998999999998,19.58,18.15,19.450001,16.444069,3527400
2009-01-06,19.940001000000002,20.51,19.469998999999998,19.969998999999998,16.883701000000002,4074500
2009-01-07,19.379998999999998,19.379998999999998,17.299999,17.43,14.736254,4938500
2009-01-08,17.280001000000002,18.27,17.280001000000002,18.190001000000002,15.378796,3511700
2009-01-09,18.24,18.33,17.129998999999998,17.25,14.584072,2911200
2009-01-12,17.15,17.15,15.87,16.120001000000002,13.628711,3107500
2009-01-13,16.370001000000002,16.940001000000002,15.57,16.559998999999998,14.000708,3905800
2009-01-14,16.09,16.25,15.01,15.26,12.901617,3622300
2009-01-15,15.58,16.26,14.45,15.54,13.138344,4515500
2009-01-16,16.99,18.280001000000002,15.61,16.209999,13.704798,4712700
2009-01-20,16.190001000000002,16.209999,13.87,14.0,11.836344,6242200
2009-01-21,14.57,16.370001000000002,14.46,16.27,13.755525,5155100
2009-01-22,15.43,15.8,13.85,14.5,12.315845,6973600
2009-01-23,14.07,15.65,13.79,15.31,13.003836999999999,4377100
2009-01-26,15.04,15.57,14.25,14.59,12.392291,4793000
2009-01-27,14.88,15.36,14.45,15.28,12.978356,3356800
2009-01-28,16.33,17.290001,15.76,16.43,13.955131,5200600
2009-01-29,15.82,15.82,14.73,14.78,12.553669000000001,4025900
2009-01-30,14.78,15.19,14.01,14.16,12.02706,4520000
2009-02-02,13.82,14.88,13.64,14.67,12.460238,4005700
2009-02-03,14.82,14.82,13.87,14.24,12.095011,5031800
2009-02-04,14.0,14.84,13.15,14.19,12.052539999999999,4447300
2009-02-05,13.87,15.29,13.51,14.77,12.545175,5956700
2009-02-06,15.11,15.25,14.32,14.99,12.732035,4259700
2009-02-09,14.93,15.38,14.45,14.7,12.485719,3356500
2009-02-10,14.5,14.7,12.59,12.69,10.778487,8954600
2009-02-11,12.75,13.25,12.52,12.98,11.024803,4734300
2009-02-12,12.23,13.27,12.23,13.17,11.186183999999999,4995300
2009-02-13,13.07,13.63,12.67,12.82,10.888907000000001,4717600
2009-02-17,12.04,12.42,11.26,11.32,9.614853,6672900
2009-02-18,12.26,12.26,11.15,11.68,9.920629,5230100
2009-02-19,11.97,11.97,10.15,10.24,8.697536,8080800
2009-02-20,10.28,11.16,9.91,10.59,8.994814,9752900
2009-02-23,10.77,11.03,9.83,9.83,8.349294,6908700
2009-02-24,10.0,11.39,9.91,11.37,9.657322,8225400
2009-02-25,11.5,11.5,9.94,10.58,8.98632,8432700
2009-02-26,11.04,11.32,10.65,11.0,9.343053999999999,7389700
2009-02-27,10.59,10.78,9.65,10.18,8.64657,9441200
2009-03-02,9.41,10.04,9.24,9.34,7.933105,9529500
2009-03-03,9.55,9.76,8.6,8.67,7.364025999999999,7682500
2009-03-04,8.89,9.6,8.3,9.28,7.882141000000001,7844800
2009-03-05,8.78,9.03,7.78,7.99,6.786455999999999,8132900
2009-03-06,8.3,8.33,7.61,8.11,6.888380000000001,7165900
2009-03-09,7.94,8.49,7.81,8.17,6.939342,7065800
2009-03-10,8.59,9.69,8.28,9.44,8.018042,8297300
2009-03-11,9.55,10.17,8.98,9.93,8.434231,9820600
2009-03-12,9.89,11.01,9.67,10.84,9.207157,8707100
2009-03-13,10.79,11.35,10.54,11.02,9.360044,6236900
2009-03-16,11.1,11.55,10.42,10.47,8.892889,5582600
2009-03-17,10.26,11.48,10.22,11.48,9.750753999999999,5605700
2009-03-18,11.33,12.82,10.9,12.8,10.871919,10246200
2009-03-19,13.08,13.23,11.99,12.09,10.268867,10083800
2009-03-20,12.47,12.47,11.35,11.41,9.691298,5705100
2009-03-23,11.87,13.35,11.87,13.35,11.339072999999999,7154900
2009-03-24,12.61,13.65,12.47,12.69,10.778487,6388700
2009-03-25,12.99,13.41,12.08,12.93,10.982337,5870800
2009-03-26,12.93,13.58,12.26,13.4,11.381541,6180200
2009-03-27,12.9,13.45,12.54,13.11,11.135223,3734600
2009-03-30,12.8,12.81,11.63,11.76,9.988577000000001,5141600
