Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,25.4,25.52,24.18,25.0,23.866823,1956500
2009-01-05,24.98,25.030001000000002,24.1,24.33,23.22719,1792800
2009-01-06,25.0,25.469998999999998,24.26,25.15,24.010026999999997,2187500
2009-01-07,24.559998999999998,24.559998999999998,22.49,22.58,21.556519,2796800
2009-01-08,22.58,23.27,21.92,22.200001,21.193737,2087200
2009-01-09,22.389999,22.42,21.76,21.780001000000002,20.792773999999998,1927500
2009-01-12,21.76,22.049999,20.360001,20.82,19.876286,3337400
2009-01-13,20.65,22.049999,20.299999,21.91,20.916885,2717200
2009-01-14,21.139999,21.6,20.41,20.99,20.038582,3117000
2009-01-15,20.57,20.85,17.790001,18.24,17.413229,6968500
2009-01-16,18.459999,19.0,16.200001,16.49,15.742557000000001,6888800
2009-01-20,16.379998999999998,16.639999,13.19,13.33,12.725788,7197900
2009-01-21,13.96,15.67,13.78,15.06,14.377376000000002,7166100
2009-01-22,14.66,15.05,13.53,13.87,13.241314000000001,5024500
2009-01-23,13.39,13.76,13.0,13.56,12.945362,5395800
2009-01-26,13.66,13.78,11.81,12.19,11.637464999999999,5655400
2009-01-27,12.96,15.41,12.63,14.08,13.441795999999998,9564300
2009-01-28,15.68,18.299999,15.56,17.959999,17.145927,9989500
2009-01-29,17.4,17.42,16.18,16.43,15.685278,4283700
2009-01-30,16.950001,17.049999,14.69,14.92,14.243720999999999,3979100
2009-02-02,14.39,14.77,13.96,14.46,13.804575,3279600
2009-02-03,14.7,14.76,12.98,13.11,12.51576,6282200
2009-02-04,13.04,14.01,12.75,12.84,12.257999,4867800
2009-02-05,12.85,13.97,11.84,12.96,12.372561,8592700
2009-02-06,13.1,15.12,13.1,14.34,13.690010999999998,7128000
2009-02-09,14.93,15.41,13.85,14.84,14.206973999999999,7353100
2009-02-10,14.59,14.84,11.89,11.95,11.440253,10030000
2009-02-11,12.65,13.09,12.11,12.61,12.0721,4821600
2009-02-12,12.19,12.32,10.99,11.68,11.181769000000001,7583100
2009-02-13,11.63,11.9,11.02,11.42,10.93286,6647800
2009-02-17,10.82,11.07,10.0,10.01,9.583008999999999,6072800
2009-02-18,10.62,10.62,9.34,10.11,9.678742,6001800
2009-02-19,10.27,10.64,9.29,9.3,8.903293,3637200
2009-02-20,8.66,9.17,8.05,9.0,8.616091,6894100
2009-02-23,9.14,9.36,8.37,8.67,8.300168,5064100
2009-02-24,8.55,10.55,8.22,10.16,9.726612,9784400
2009-02-25,10.05,10.49,8.53,9.62,9.209644,9408100
2009-02-26,10.79,12.34,10.31,10.91,10.444616,9479200
2009-02-27,9.82,10.62,9.33,9.37,8.970307,6598500
2009-03-02,9.1,9.4,8.88,8.92,8.539503,5502400
2009-03-03,9.28,9.43,7.97,8.31,7.955526,5415400
2009-03-04,8.5,9.19,7.49,7.98,7.6396,5607200
2009-03-05,7.77,7.85,6.6,6.77,6.481215,4390800
2009-03-06,6.97,7.45,5.9,6.48,6.2035860000000005,5755300
2009-03-09,6.38,7.41,6.28,6.84,6.548228,4491400
2009-03-10,7.83,7.86,7.11,7.65,7.323676,6038300
2009-03-11,7.84,8.79,7.52,8.47,8.108698,8033000
2009-03-12,8.17,9.23,7.8,9.18,8.788414999999999,8086300
2009-03-13,9.85,9.95,8.8,9.42,9.018172,5320800
2009-03-16,9.72,11.3,9.62,9.98,9.554286,6787700
2009-03-17,10.34,10.85,10.0,10.85,10.387172999999999,4399100
2009-03-18,10.31,11.96,10.27,11.73,11.229636,6542400
2009-03-19,12.08,12.26,10.41,10.47,10.023384,5204500
2009-03-20,10.55,10.6,9.67,9.92,9.496847,4089200
2009-03-23,11.16,11.67,10.56,11.66,11.162624000000001,4455300
2009-03-24,11.19,11.74,10.43,10.45,10.004239,4818300
2009-03-25,10.6,11.2,9.76,10.52,10.071255,4827100
2009-03-26,10.8,10.91,10.4,10.88,10.415894999999999,4913200
2009-03-27,10.57,11.07,10.37,10.46,10.013810000000001,3048300
2009-03-30,10.08,10.19,9.32,9.38,8.979880999999999,2964300
2009-03-31,9.43,10.07,9.12,9.83,9.410686,4711100
2009-04-01,9.58,10.49,9.51,10.38,9.937223,3687200
2009-04-02,11.07,11.5,10.64,11.17,10.693527,6141900
2009-04-03,11.15,11.27,10.49,11.25,10.770114,3554300
2009-04-06,10.97,11.05,10.5,10.99,10.521207,4322100
2009-04-07,10.55,10.84,10.26,10.26,9.822345,2475100
2009-04-08,10.31,10.46,9.45,9.78,9.362817999999999,3191600
2009-04-09,10.92,12.36,10.43,12.36,11.832765,6969900
2009-04-13,11.87,13.5,11.5,13.44,12.866693,7223300
2009-04-14,13.34,14.14,12.0,12.03,11.516841000000001,7974700
2009-04-15,12.0,12.91,11.54,12.83,12.282716,4121900
2009-04-16,12.99,14.0,12.27,13.7,13.115601999999999,7833500
2009-04-17,13.86,15.61,13.24,15.02,14.379298,8065900
